0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Ti:6163.5,Ta:558.9,W_:340.6,Si:210.7,Sn:185.0,Zr:179.5,I_:156.0,In:153.8,Cu:152.0,,,,,,,,,,,,,
Ti:6114.6,In:1351.3,Pd:1230.2,S :1076.6,Sb:1065.9,Si:795.0,K :684.1,Nb:492.1,Bi:441.6,Zn:368.3,Ni:244.5,C_:234.3,Cu:229.5,,,,,,,,,
Ti:5482.7,S :523.1,Zr:493.7,Nb:395.0,W_:388.4,Sb:266.5,Si:257.8,Si:254.3,In:237.3,Pd:234.9,Zr:205.5,Ni:172.2,Ge:169.7,Fe:157.0,Mo:151.2,,,,,,,
Zr:6177.2,Ti:4551.3,Nb:2539.4,V_:1941.3,Ni:1283.1,Fe:902.8,Bi:205.4,Bi:191.3,Al:180.9,Mo:174.2,Sn:168.5,,,,,,,,,,,
Ti:4453.7,Ca:3873.4,Ta:349.0,Sn:319.4,I_:291.4,Nb:264.0,Fe:154.1,,,,,,,,,,,,,,,
Ti:4247.0,Ca:481.3,Nb:434.9,Ni:197.3,S :196.6,Pt:167.4,Fe:158.3,,,,,,,,,,,,,,,
Ti:4003.4,Fe:2462.6,W_:580.4,Pt:260.9,Sb:252.7,Bi:198.3,Zr:172.4,,,,,,,,,,,,,,,
Ti:3687.0,W_:1019.9,Nb:874.0,Ni:386.4,S :250.9,Zr:229.0,Pd:218.8,Ag:210.2,Cr:167.8,Pd:163.4,,,,,,,,,,,,
Ti:3630.0,V_:295.4,Zr:242.8,,,,,,,,,,,,,,,,,,,
Ti:3468.9,Nb:1419.7,Zr:1320.3,Ni:741.3,Au:507.2,V_:313.2,Cd:288.6,Pt:250.8,S :211.4,Ge:204.8,W_:200.5,S :176.1,I_:154.4,Ge:150.8,Sb:150.6,,,,,,,
Ti:3320.6,W_:945.2,V_:510.7,Ta:439.1,Nb:358.6,Mo:323.1,Ni:292.1,,,,,,,,,,,,,,,
Ti:3083.1,Pd:339.5,Pt:283.3,Zr:282.3,In:281.9,Sb:272.8,Sn:272.6,K :257.0,I_:154.2,W_:152.8,Fe:151.3,,,,,,,,,,,
Ti:2845.6,Nb:257.8,W_:228.4,Pd:212.3,In:212.3,I_:195.1,Zr:191.3,Mo:178.8,Ni:175.2,Si:162.8,,,,,,,,,,,,
Ti:2810.1,Nb:1450.2,Ni:445.8,Mo:241.0,,,,,,,,,,,,,,,,,,
Ti:2569.4,Nb:1510.8,Ni:767.1,Si:248.7,W_:228.0,Ca:196.4,Pb:179.9,K :178.3,Zr:154.3,,,,,,,,,,,,,
Ti:2416.8,Nb:2033.5,Ni:769.7,Mo:419.5,I_:313.3,W_:238.0,Ta:209.5,Pd:186.2,Ge:171.8,Sn:170.9,Au:169.7,Pt:154.7,Sn:150.8,,,,,,,,,
Ti:2385.1,Zr:977.1,S :660.7,K :311.7,P :161.7,Bi:153.9,Bi:153.4,,,,,,,,,,,,,,,
Ti:2294.4,Nb:1469.2,Ni:642.9,Si:451.0,W_:226.4,,,,,,,,,,,,,,,,,
Ti:2284.2,Nb:2007.0,Ni:869.3,,,,,,,,,,,,,,,,,,,
Ti:2235.8,V_:625.1,Zr:280.8,Nb:266.4,,,,,,,,,,,,,,,,,,
Ti:2210.0,Pb:745.3,,,,,,,,,,,,,,,,,,,,
Ti:2120.2,Zr:282.3,W_:256.9,K :186.5,Sb:169.4,,,,,,,,,,,,,,,,,
Ca:7580.1,Ti:1911.2,Nb:295.4,,,,,,,,,,,,,,,,,,,
Ti:1804.9,Zr:218.3,Sb:156.2,,,,,,,,,,,,,,,,,,,
Nb:2474.2,Ti:1674.0,Ni:1161.4,In:405.1,Pd:274.4,Pb:191.3,Pt:161.5,Fe:156.5,,,,,,,,,,,,,,
