0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
V_:2807.7,Ti:445.0,W_:270.0,In:200.3,Pt:186.6,Fe:181.1,K :179.3,Pd:173.0,I_:167.7,Zr:162.7,,,,,,,,,,,,
V_:2139.8,I_:948.9,Ca:342.6,W_:224.6,Pb:184.7,,,,,,,,,,,,,,,,,
Ti:4551.3,Nb:2539.4,V_:1941.3,Ni:1283.1,Fe:902.8,Bi:191.3,Pd:185.4,Sn:168.5,,,,,,,,,,,,,,
V_:1851.7,Ti:658.5,Si:420.5,Pd:401.1,Fe:357.6,In:346.4,K :305.5,Mo:298.2,Sb:291.5,Zr:260.5,Ta:258.6,S :246.7,Sb:245.9,Fe:216.8,Ge:194.0,K :159.0,Zn:154.4,,,,,
V_:1701.1,Nb:387.0,Ta:271.6,I_:197.8,Pt:186.5,In:163.2,,,,,,,,,,,,,,,,
V_:1577.9,Ti:818.4,Sb:168.8,,,,,,,,,,,,,,,,,,,
Nb:1798.8,V_:1497.2,Ni:691.2,Pd:618.7,In:564.2,Si:480.4,S :474.1,Pd:401.1,Fe:357.6,K :305.5,Mo:298.2,Zr:260.5,S :246.7,Sb:245.9,Ge:194.0,Zn:189.3,Zn:154.4,P :153.1,,,,
Nb:2339.5,V_:1330.5,Ni:1090.2,Pd:788.3,Ti:743.9,P :170.5,Ge:157.2,,,,,,,,,,,,,,,
Ti:1339.2,V_:1322.6,Nb:573.6,W_:381.6,Ca:315.1,Ni:306.5,Sb:203.5,Zr:201.4,Bi:177.8,P :158.5,,,,,,,,,,,,
V_:1240.5,Ti:302.1,,,,,,,,,,,,,,,,,,,,
Nb:1884.4,Fe:1450.8,V_:1134.7,Ni:979.3,Pd:443.4,Cu:372.4,Cu:286.4,Bi:275.6,Bi:271.5,Ca:199.4,Si:195.6,W_:186.7,I_:177.9,Co:170.2,S :165.2,Ag:163.4,Zr:151.7,Sb:150.1,,,,
