Wavelength,Intensity,Pixel
573.147,2807.7094789853027,563.0
562.922,2139.8006210258154,482.0
519.832,1941.2548661034627,149.0
570.883,1851.6512476945732,545.0
570.254,1701.0626407568006,540.0
609.481,1577.8635128965075,858.0
571.135,1497.1711819020961,547.0
567.479,1330.5267982318965,518.0
524.57,1322.5822698157158,185.0
624.787,1240.4697627106611,986.0
523.913,1134.6949582975749,180.0
612.373,1075.780003734455,882.0
542.037,971.6535335768938,319.0
549.258,919.0074237258659,375.0
514.415,860.5610821275924,108.0
513.355,800.6061130351195,100.0
608.636,771.4607820242795,851.0
566.215,770.5021037435458,508.0
540.613,752.8123761096115,308.0
573.649,741.1196779058268,567.0
574.151,724.6621064405626,571.0
518.117,717.9303281584027,136.0
611.651,703.0126010997525,876.0
604.397,689.4076188462483,816.0
613.935,642.289777815977,895.0
622.058,625.0816183488689,963.0
558.981,614.6842109441792,451.0
551.184,613.3636989534216,390.0
560.89,605.7630013386623,466.0
620.392,582.2969091976438,949.0
623.483,564.2220573650957,975.0
625.615,557.4749003154443,993.0
535.81,557.2985678538937,271.0
575.279,555.8358408541721,580.0
559.745,518.8149901326294,457.0
501.905,510.70643544739835,14.0
629.746,499.44630296995587,1028.0
565.076,493.15372343317335,499.0
574.778,483.394421436524,576.0
555.154,479.1456283439817,421.0
579.031,477.8056360926407,610.0
515.341,474.73208162729827,115.0
653.604,463.1302429933062,1234.0
630.099,448.5376105448331,1031.0
615.494,420.0278833683724,908.0
573.9,406.56963596468813,569.0
628.921,400.3610198253909,1021.0
577.657,358.4038417392678,599.0
538.928,357.69468209045556,295.0
510.967,346.6351199704518,82.0
627.978,326.206582134875,1013.0
543.847,321.8185067105836,333.0
506.844,313.1985155816442,51.0
622.889,311.868282430049,970.0
542.813,296.86375971002394,325.0
626.207,295.43857214375,998.0
633.151,283.49831169516426,1057.0
500.567,278.55183449790195,4.0
645.7,266.924397996786,1165.0
522.203,256.7568080975798,167.0
600.747,256.71981574939196,786.0
650.865,247.8027216396032,1210.0
556.303,241.79381275488538,430.0
516.4,235.7145685672906,123.0
568.741,234.86389618926148,528.0
634.322,224.30876916467656,1067.0
521.808,224.30575674132297,164.0
661.081,216.99808315035273,1300.0
606.216,214.20966582021936,831.0
627.152,212.91015658063384,1006.0
636.192,210.8383480282988,1083.0
578.157,206.88809695838472,603.0
582.147,205.47981738144256,635.0
662.994,203.22103213254002,1317.0
585.129,203.03632909463886,659.0
533.336,202.0259954245363,252.0
547.586,200.6519459068918,362.0
617.529,197.6091720309131,925.0
583.515,196.02991250174887,646.0
675.784,175.32180888511243,1432.0
643.508,174.6787739968961,1146.0
585.501,171.31869551695343,662.0
521.15,171.14630771324835,159.0
523.124,170.4335224735371,174.0
635.375,169.2510360285861,1076.0
526.538,162.7522840241047,200.0
