0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
W_:1733.8,V_:234.9,,,,,,,,,,,,,,,,,,,,
W_:1732.4,Ti:708.8,S :173.2,Pt:158.8,In:155.9,,,,,,,,,,,,,,,,,
W_:1428.7,Sn:1216.5,Pt:1196.6,Zr:1168.3,Pd:1143.1,Si:1031.2,In:1022.9,I_:924.5,Sb:899.2,Nb:841.7,Fe:838.3,K :669.7,S :649.3,Ti:581.3,Ta:483.5,Ge:412.2,Bi:316.0,Zn:313.2,P :257.3,Ni:246.9,Pb:226.2,
Nb:4598.3,Ni:1886.5,W_:1264.7,Pd:1103.1,Zr:977.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,I_:570.4,Si:518.9,K :477.7,Zn:270.9,Ge:215.2,P :200.4,Bi:182.4,Bi:153.9,,
W_:1056.9,Ti:732.8,Ta:272.6,Si:225.4,S :217.6,Fe:179.6,Pt:179.4,Zr:171.5,Sn:159.8,,,,,,,,,,,,,
W_:1054.9,Ti:691.2,Nb:499.4,Fe:194.1,Zr:171.5,Pd:168.3,S :167.9,,,,,,,,,,,,,,,
Ti:3687.0,W_:1019.9,Nb:874.0,Ni:386.4,S :250.9,Zr:229.0,Pd:218.8,Ag:210.2,Cr:167.8,Pd:163.4,,,,,,,,,,,,
W_:980.5,S :196.6,Pd:166.8,Fe:158.3,I_:154.2,,,,,,,,,,,,,,,,,
Ti:3320.6,W_:945.2,V_:510.7,Ta:439.1,Nb:358.6,Mo:323.1,Ni:292.1,,,,,,,,,,,,,,,
I_:1032.1,W_:873.2,Pd:702.2,Pt:668.3,Pd:618.7,Nb:579.9,In:564.2,In:513.2,Fe:513.1,Sn:493.4,Si:484.2,S :474.1,S :432.2,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:198.8,Zn:189.3,P :167.3,P :153.1,
Ti:884.7,W_:775.7,Pd:541.7,Pt:483.6,In:456.8,Ta:411.5,S :395.1,Si:379.0,Fe:352.0,Zr:348.4,Sn:348.2,Sb:340.7,I_:257.1,Sb:255.4,K :231.8,Bi:171.8,,,,,,
Nb:2339.5,Ni:1090.2,Ti:759.3,W_:730.0,Mo:300.4,,,,,,,,,,,,,,,,,
W_:694.5,Pt:356.5,Si:340.1,Sb:329.3,Sn:290.8,Fe:272.1,Zr:175.7,P :173.7,Ag:163.7,,,,,,,,,,,,,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Pt:558.8,Zr:537.4,I_:507.0,Pd:471.3,Sb:465.1,Fe:440.7,Fe:417.0,Si:379.9,K :358.7,Bi:263.2,Nb:244.8,P :180.6,Ta:172.1,Ca:164.4,Zn:163.2,Ni:153.7
Ti:4003.4,C_:3180.6,Nb:2573.0,Ni:1265.9,W_:580.4,Pt:260.9,Sb:252.7,Bi:198.3,Zr:172.4,,,,,,,,,,,,,
Pd:852.6,Si:564.5,W_:562.7,In:546.0,Pt:518.5,Sn:428.4,Fe:400.6,Sn:400.4,Sb:327.9,Zr:254.6,K :248.1,Ti:213.1,Zr:209.3,Ta:166.3,,,,,,,,
