Wavelength,Intensity,Pixel
568.615,1733.779601394206,527.0
505.777,1732.4155431239087,43.0
504.844,1428.6683535486827,36.0
566.974,1264.7373597004462,514.0
507.376,1056.87353954223,55.0
507.643,1054.9328907359213,57.0
522.861,1019.8514533474099,172.0
551.953,980.5493744163559,396.0
501.771,945.1587964608989,13.0
571.387,873.1955739964906,549.0
594.508,775.6797283179949,735.0
567.732,730.0050615129112,520.0
549.772,694.5155595538527,379.0
553.747,632.9087790827343,410.0
517.06,580.4106913460582,128.0
656.786,562.7266963077636,1262.0
537.89,554.9236748383228,287.0
573.9,531.8261284654945,569.0
565.33,527.2628411546648,501.0
580.902,512.3559859768702,625.0
510.834,425.68769608518596,81.0
519.173,418.9521743396763,144.0
521.677,388.39132001281905,163.0
524.701,381.5814602899991,186.0
519.437,358.7243562514632,146.0
593.525,358.065580049828,727.0
570.632,351.3709615684711,543.0
514.282,340.9353183217463,107.0
504.043,340.60891907291443,30.0
530.857,336.78549148079765,233.0
575.405,334.5392205933549,581.0
550.542,333.04636737900364,385.0
535.42,329.6046677962877,268.0
532.163,328.30101121385087,243.0
526.013,324.23111153358695,196.0
546.169,321.4406050331909,351.0
535.81,311.9764301032192,271.0
511.896,310.235155969418,89.0
657.127,309.91825638201954,1265.0
539.965,307.2080879772184,303.0
526.407,303.1057768637511,199.0
513.355,291.75466659799895,100.0
574.903,289.85824181392854,577.0
592.787,284.6610828856774,721.0
527.979,284.01211502492697,211.0
548.358,283.71839494227606,368.0
648.689,282.4716788594078,1191.0
540.872,277.3953406538385,310.0
576.406,277.23181191993444,589.0
589.46,272.83309348463627,694.0
523.387,272.0225827193681,176.0
561.906,271.92648006479794,474.0
601.722,270.41689935724025,794.0
539.317,270.214269738186,298.0
573.147,269.9682154027978,563.0
538.409,267.758128492349,291.0
528.241,266.885847959893,213.0
514.017,263.5632399368951,105.0
562.16,259.75456062612466,476.0
575.906,259.2287143802687,585.0
502.306,256.90451903608664,17.0
555.665,252.4608917388141,425.0
661.419,251.73597112439074,1303.0
596.96,251.1249127816218,755.0
588.595,249.03353959461128,687.0
506.311,246.1431301744833,47.0
622.414,242.86416828697384,966.0
555.409,242.54619099236152,423.0
590.57,242.44649205525002,703.0
538.928,240.86333856862257,295.0
547.586,238.16740995514556,362.0
574.527,238.04273281235692,574.0
514.944,238.03821663583767,112.0
521.018,236.50467137100713,158.0
537.5,234.3150036682673,284.0
545.782,233.4965639884249,348.0
580.154,233.4596737021593,619.0
579.78,230.1698521616272,616.0
545.525,228.38910997883613,346.0
563.429,227.98594041982687,486.0
509.505,226.97384823992252,71.0
586.987,226.44228348951037,674.0
544.105,225.9723074392714,335.0
576.907,225.6046104970237,593.0
541.778,225.39528132746818,317.0
598.917,225.17975320243022,771.0
562.795,224.60268862975317,481.0
577.407,224.26316536438117,597.0
563.683,223.63963187500303,488.0
544.492,223.0151059098971,338.0
536.201,217.2042843741874,274.0
551.312,213.88616597460532,391.0
573.523,213.70610113870134,566.0
546.813,213.6205083607383,356.0
532.554,209.21795987186124,246.0
522.072,209.18353640631176,166.0
582.52,207.52809010142664,638.0
615.614,201.70864422403065,909.0
539.576,200.7586111104938,300.0
506.71,200.51787678481742,50.0
540.354,200.18380578762662,306.0
534.379,199.36201118589088,260.0
508.441,196.32838080827787,63.0
597.694,195.3055480184321,761.0
558.344,193.2840394537816,446.0
547.328,192.30064738450164,360.0
525.62,192.29326883564318,193.0
534.769,192.24172381704193,263.0
585.749,191.64634530098374,664.0
599.65,190.83640119654956,777.0
525.226,187.75476755276395,190.0
523.781,186.6834003481854,179.0
605.368,186.512810094433,824.0
529.942,185.53887925505842,226.0
513.752,184.0262643451024,103.0
510.303,182.93269789069018,77.0
557.197,180.97825002151149,437.0
572.895,180.14033388221287,561.0
548.615,178.87019315662837,370.0
541.52,178.76736872333822,315.0
563.936,178.55186897484054,490.0
531.249,178.53199818470057,236.0
606.459,174.00663728226664,833.0
515.871,173.82899582072423,119.0
572.644,172.79496296880825,559.0
661.644,172.7187122328719,1305.0
623.483,172.51987040355925,975.0
585.377,170.52075301760306,661.0
597.449,170.50605276749593,759.0
649.148,170.49346050200757,1195.0
531.51,170.47923245219135,238.0
509.239,170.3829280603877,69.0
512.692,170.06813164811683,95.0
591.803,169.92513312098163,713.0
533.597,169.9009714765889,254.0
542.942,169.86656914824198,326.0
603.547,168.86975946369694,809.0
529.157,168.4618405865749,220.0
514.547,167.0903744732459,109.0
604.883,166.94716930652976,820.0
617.529,166.9086058913872,925.0
512.427,166.2757121990271,93.0
598.306,165.9716934986609,766.0
603.912,163.4221416317214,812.0
564.443,163.4148508028302,494.0
560.763,162.85626595241774,465.0
578.532,162.1033086377147,606.0
511.631,161.94841843371432,87.0
559.872,161.86584270644744,458.0
543.33,161.609715391769,329.0
510.037,160.1900070702959,75.0
627.27,159.9019458701896,1007.0
588.966,159.40252563434296,690.0
615.854,159.3203441656524,911.0
554.514,159.31350841472704,416.0
542.554,158.6595676197776,323.0
645.008,158.5715515929046,1159.0
541.261,158.55513705850717,313.0
608.394,158.01413933650838,849.0
543.847,157.23489541136405,333.0
716.164,156.38191579540944,1812.0
595.857,156.31916115489184,746.0
629.039,153.59972329339234,1022.0
603.304,153.24076483734098,807.0
502.841,152.81780733935557,21.0
587.606,151.98001351910807,679.0
582.023,150.7775178419888,634.0
526.931,150.34449216118446,203.0
