0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Zn:3652.0,Si:221.6,Ti:221.5,Ta:188.0,Ti:173.2,Ca:161.7,,,,,,,,,,,,,,,,
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Ca:473.8,V_:278.6,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,,
Zr:3082.4,K :2724.8,Mo:1459.8,Nb:530.0,Zn:516.9,Ti:483.8,In:445.2,Bi:436.5,Cr:399.8,C_:326.0,Pb:305.5,Pd:292.8,Ca:280.5,W_:272.8,Sn:212.7,Pt:192.6,,,,,,
Ge:2228.9,Zr:1690.9,K :1353.8,Sb:545.9,Zn:472.2,Nb:376.5,Cr:296.6,Mo:241.6,Ni:236.9,Bi:200.8,In:186.9,Pb:173.6,Pd:152.1,Ca:151.0,,,,,,,,
Pt:1398.7,In:1351.3,Sn:1238.5,Pd:1230.2,Sb:1184.4,S :1076.6,Sb:1065.9,S :1042.7,Si:843.4,Ge:796.1,K :769.0,V_:717.9,I_:706.9,Zr:706.6,Fe:679.6,Bi:579.2,Zn:422.0,P :336.9,Ta:327.4,Al:254.6,C_:234.5,Cu:229.5
Ti:6114.6,In:1351.3,Pd:1230.2,S :1076.6,Sb:1065.9,Si:795.0,K :684.1,Nb:492.1,Bi:441.6,Zn:368.3,Ni:244.5,C_:234.3,Cu:229.5,,,,,,,,,
W_:1428.7,Sn:1216.5,Pt:1196.6,Zr:1168.3,Pd:1143.1,Si:1031.2,In:1022.9,I_:924.5,Sb:899.2,Nb:841.7,Fe:838.3,K :669.7,S :649.3,Ti:581.3,Ta:483.5,Ge:412.2,Bi:316.0,Zn:313.2,P :257.3,Ni:246.9,Pb:226.2,
Nb:4598.3,Ni:1886.5,W_:1264.7,Pd:1103.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,I_:570.4,Si:518.9,K :477.7,Zn:270.9,Ge:215.2,P :200.4,Bi:182.4,,,,
Pd:593.0,Pt:558.8,Zr:525.4,Sn:467.5,In:452.8,Fe:440.7,Si:346.0,Sb:311.6,Nb:244.8,Zn:202.2,P :180.6,,,,,,,,,,,
I_:1032.1,W_:873.2,Pd:702.2,Pt:668.3,Nb:579.9,In:513.2,Fe:513.1,Sn:493.4,Si:484.2,S :432.2,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:198.8,P :167.3,,,,,,
Nb:1798.8,V_:1497.2,I_:1032.1,W_:873.2,Ni:691.2,Pt:668.3,Pd:618.7,Nb:579.9,In:564.2,Fe:513.1,Sn:493.4,Si:480.4,S :474.1,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:189.3,P :153.1,,,
Zr:526.8,I_:406.0,Si:337.8,Ti:275.3,C_:215.3,Bi:212.8,Zn:186.0,Cu:175.2,K :161.0,,,,,,,,,,,,,
Nb:836.6,Ti:681.4,Ni:491.5,Pd:420.0,Fe:384.4,W_:307.2,K :244.1,Al:235.1,Sn:208.5,Mo:198.1,S :178.9,Zn:171.3,I_:167.4,,,,,,,,,
Zr:421.1,Fe:358.7,Nb:328.9,Sb:281.7,K :276.6,Ni:187.4,P :171.6,Zn:167.7,I_:166.8,,,,,,,,,,,,,
Si:3497.3,Zr:569.8,Zn:167.5,,,,,,,,,,,,,,,,,,,
Nb:187.6,V_:169.3,Zn:166.5,Ti:159.9,,,,,,,,,,,,,,,,,,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Zr:537.4,I_:507.0,Pd:471.3,Sb:465.1,Fe:417.0,I_:406.0,Si:379.9,K :358.7,Bi:263.2,Ta:172.1,Ca:164.4,Zn:163.2,Ni:153.7,,,
Ta:165.6,Zn:159.9,,,,,,,,,,,,,,,,,,,,
Nb:480.2,Sb:397.7,Pd:368.5,Mo:364.5,Ta:353.9,Ni:220.1,Si:183.6,Fe:169.8,Zn:156.6,,,,,,,,,,,,,
V_:1851.7,Nb:1798.8,V_:1497.2,Ni:691.2,Si:480.4,Si:420.5,Pd:401.1,Fe:357.6,K :305.5,Mo:298.2,Zr:260.5,Ta:258.6,S :246.7,Sb:245.9,Ge:194.0,Zn:154.4,,,,,,
Pd:516.5,Ta:513.0,Bi:366.3,Sn:236.5,Sb:232.3,S :214.0,Si:191.7,Pt:181.5,Ge:170.6,I_:168.0,Zn:154.0,,,,,,,,,,,
Ti:918.8,Nb:434.5,Ca:394.6,S :345.9,Pb:178.8,In:170.7,Zn:152.9,,,,,,,,,,,,,,,
Nb:1212.2,Ti:934.4,Ni:573.2,Ta:208.9,Fe:157.2,Zn:152.6,,,,,,,,,,,,,,,,
