Wavelength,Intensity,Pixel
636.659,3652.0279880612757,1087.0
500.701,1202.7451562326778,5.0
568.236,727.6256139775905,524.0
589.46,516.8520308829413,694.0
589.954,472.2061954804949,698.0
518.117,421.9946316015612,136.0
517.853,368.30590980321904,134.0
504.844,313.23318863966597,36.0
567.1,270.89865097040456,515.0
553.491,202.19844029035085,408.0
571.513,198.84534442533186,550.0
571.261,189.2556430021691,548.0
554.131,185.99260957332035,413.0
540.095,171.27403377751125,304.0
568.993,167.73519581482742,530.0
634.907,167.4584487173172,1072.0
635.375,166.52046447079556,1076.0
553.875,163.1655106371818,411.0
634.673,159.87468662085394,1070.0
511.365,156.581892901404,85.0
571.009,154.37512287217123,546.0
512.161,154.0308329231225,91.0
556.942,152.93423686898495,435.0
571.89,152.56054037143576,553.0
