0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Zr:6177.2,Ti:4551.3,Nb:1611.3,Fe:902.8,Ni:851.1,W_:358.7,Bi:205.4,K :182.6,Al:180.9,Mo:174.2,Sn:168.5,,,,,,,,,,,
Nb:4740.9,Zr:3896.9,Ca:2356.8,Ni:1716.7,Ta:337.6,W_:329.6,Ti:272.9,Co:272.3,Sb:191.1,Ta:181.0,Fe:162.8,,,,,,,,,,,
Zr:3282.5,Ti:1137.2,Nb:480.2,Sb:477.3,Pd:368.5,I_:228.6,Sn:224.6,Ni:220.1,Si:200.5,W_:161.9,,,,,,,,,,,,
Zr:3082.4,K :2724.8,Mo:1459.8,Nb:530.0,Zn:516.9,Ti:483.8,In:445.2,Bi:436.5,Cr:399.8,C_:326.0,Pb:305.5,Pd:292.8,Ca:280.5,W_:272.8,Sn:212.7,Pt:192.6,,,,,,
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Pb:745.3,Ca:473.8,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,,
Zr:1690.9,K :1353.8,Sb:545.9,Zn:472.2,Cr:296.6,Mo:241.6,Bi:200.8,In:186.9,Pb:173.6,Pd:152.1,Ca:151.0,,,,,,,,,,,
Ti:3468.9,Nb:1419.7,Zr:1320.3,Ni:741.3,Au:507.2,V_:313.2,Cd:288.6,S :211.4,I_:154.4,Ge:150.8,,,,,,,,,,,,
Zr:1255.3,I_:924.5,Sb:899.2,Nb:583.4,Bi:315.0,Ni:260.4,P :257.3,Mo:208.9,,,,,,,,,,,,,,
W_:1428.7,Sn:1216.5,Pt:1196.6,Zr:1168.3,Pd:1143.1,Si:1031.2,In:1022.9,I_:924.5,Sb:899.2,Nb:841.7,Fe:838.3,K :669.7,S :649.3,Ti:581.3,Ta:483.5,Ge:412.2,Bi:316.0,Zn:313.2,P :257.3,Ni:246.9,Pb:226.2,
Zr:1017.5,Ti:962.3,Nb:315.7,I_:253.4,K :151.4,,,,,,,,,,,,,,,,,
Nb:4598.3,Ti:2385.1,Ni:1886.5,W_:1264.7,Zr:977.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,S :660.7,I_:570.4,Si:518.9,K :477.7,Ge:215.2,P :200.4,Bi:153.9,,,
Zr:974.1,Ti:332.0,,,,,,,,,,,,,,,,,,,,
Zr:946.4,Ca:393.0,Nb:256.7,Ta:210.1,S :167.8,,,,,,,,,,,,,,,,,
Nb:4861.6,Ni:1984.7,Zr:905.9,Al:852.3,Bi:693.7,K :483.1,Mo:463.4,In:215.7,W_:196.3,Pt:192.4,Si:188.1,Sn:185.1,C_:155.4,,,,,,,,,
