Wavelength,Intensity,Pixel
519.569,6177.2144330145675,147.0
535.55,3896.9208491955023,269.0
511.631,3282.5028771456145,87.0
589.46,3082.3944517998034,694.0
500.835,2866.2797211727284,6.0
568.363,2081.183980346116,525.0
590.077,1690.8900978948254,699.0
506.977,1320.3392045458068,52.0
505.111,1255.319323500812,38.0
504.844,1168.273902543242,36.0
613.214,1017.4993153706309,889.0
566.847,977.0980444299712,513.0
631.744,974.1496514201262,1045.0
614.775,946.3965030395229,902.0
508.308,905.909352758672,62.0
538.928,892.1832284330931,295.0
516.003,756.2963008641946,120.0
548.358,732.8718676564959,368.0
518.117,706.6452625572238,136.0
613.935,653.5973998594827,895.0
717.391,639.7536611628482,1824.0
710.194,602.6075243312397,1754.0
635.024,569.7858901376012,1073.0
531.64,561.328739709189,239.0
553.875,537.3822346142151,411.0
518.381,527.0292135980635,138.0
554.131,526.8311259337897,413.0
553.363,525.3704638970557,407.0
710.711,498.674154070844,1759.0
521.414,493.74492966121943,161.0
649.377,480.6832310540076,1197.0
528.241,460.6693034124619,213.0
550.671,459.8069047023291,386.0
603.304,441.8329499545166,807.0
568.993,421.10028710055667,530.0
571.387,415.29443396867737,549.0
588.348,411.57576819249607,685.0
513.752,392.60008988270874,103.0
558.089,388.02143641561634,444.0
562.414,375.61318298395963,478.0
536.721,369.9216633018259,278.0
612.613,354.9295155472355,884.0
594.508,348.4305090190137,735.0
580.279,340.06808216764875,620.0
529.942,337.6591880208189,226.0
647.426,330.94116463213504,1180.0
587.359,321.8036812879909,677.0
611.892,317.12055796785626,878.0
533.988,313.30308305176186,257.0
594.016,306.4715649724458,731.0
574.025,297.9404950592898,570.0
611.049,289.4877245440766,871.0
593.033,285.6680937430924,723.0
502.573,282.29873658576525,19.0
610.446,282.09389699545636,866.0
508.973,281.2369531650338,67.0
621.939,280.78938879724683,962.0
630.452,276.50022155284887,1034.0
598.795,273.98354370333163,770.0
520.491,266.10000511691305,154.0
571.009,260.5267974638846,546.0
647.885,259.354198720996,1184.0
593.279,255.1932934757633,725.0
656.673,254.55415025134516,1261.0
564.316,247.69478777985387,493.0
626.207,242.7567286313838,998.0
595.98,239.66803495599015,747.0
520.887,234.88576093636584,157.0
503.108,234.10003103737836,23.0
677.324,231.8035553192351,1446.0
522.993,228.9993777410691,173.0
534.248,227.80742772984195,259.0
650.751,226.01455099346208,1209.0
523.387,225.37724976022764,176.0
695.812,224.4920687980225,1617.0
525.226,223.6533516356576,190.0
512.957,223.4202152028638,97.0
565.076,220.98315111942702,499.0
556.176,220.0415030505128,429.0
699.523,219.2834868576656,1652.0
616.213,218.30247436882155,914.0
510.037,215.53113899677373,75.0
656.9,209.33888215160277,1263.0
689.284,205.6068786294611,1556.0
521.677,205.51038641235755,163.0
550.157,204.97458812594232,382.0
524.701,201.42094909189836,186.0
623.483,201.29793630957147,975.0
503.375,200.3140323053949,25.0
685.18,197.55647755210305,1518.0
530.465,196.83948754973244,230.0
651.094,195.7677903017527,1212.0
711.642,193.62268033062423,1768.0
565.33,193.45634497541323,501.0
541.261,192.9846067592316,313.0
530.726,192.02454764413233,232.0
545.396,191.338648335558,345.0
546.169,190.19200710386758,351.0
709.157,189.35427020851967,1744.0
529.419,187.16062193185644,222.0
658.259,184.0548971232604,1275.0
605.368,183.48745147579575,824.0
668.252,181.5440216378156,1364.0
560.508,180.76569091402416,463.0
645.008,180.35977335533948,1159.0
504.043,179.47645543441558,30.0
606.701,178.37578227596214,835.0
679.078,177.7886021506854,1462.0
521.94,177.02534829176693,165.0
549.643,175.6534792779512,378.0
638.29,173.00986342650253,1101.0
607.427,172.5521988837636,841.0
517.06,172.40930711963938,128.0
507.51,171.4825926367539,56.0
537.37,168.54613091173997,283.0
600.504,167.42403512944657,784.0
605.004,164.38044000396303,821.0
573.147,162.71113946787864,563.0
510.303,162.03648674788292,77.0
544.234,160.70085414219648,336.0
532.684,160.37547771661048,247.0
619.677,160.20437686622245,943.0
502.039,159.31658924719522,15.0
515.606,158.77710450595077,117.0
648.689,157.89291584400735,1191.0
522.203,156.5534869868352,167.0
593.771,156.3193498104656,729.0
570.632,156.08213256345334,543.0
563.429,154.31214605915193,486.0
543.072,154.15066342621503,327.0
523.913,151.69052072447812,180.0
601.844,150.26456749819818,795.0
624.076,150.11187046802297,980.0
