Lambda	Spectrum	Dark	SpecMinusDark
500.031	10584.2	0	10584.2
500.165	11513.5	0	11513.5
500.299	12808.2	0	12808.2
500.433	13986.5	0	13986.5
500.567	14741.5	0	14741.5
500.701	15025	0	15025
500.835	15189.8	0	15189.8
500.968	14763.5	0	14763.5
501.102	13906.8	0	13906.8
501.236	13142.2	0	13142.2
501.37	12514.5	0	12514.5
501.504	11644.8	0	11644.8
501.637	10929.2	0	10929.2
501.771	10294.8	0	10294.8
501.905	9683.5	0	9683.5
502.039	9323.75	0	9323.75
502.172	8969.75	0	8969.75
502.306	8764	0	8764
502.44	8492.75	0	8492.75
502.573	8386.25	0	8386.25
502.707	8275.25	0	8275.25
502.841	8190.75	0	8190.75
502.974	7981	0	7981
503.108	7830.25	0	7830.25
503.242	7769.5	0	7769.5
503.375	7648	0	7648
503.509	7443.75	0	7443.75
503.642	7466.5	0	7466.5
503.776	7430.5	0	7430.5
503.909	7401.75	0	7401.75
504.043	7519	0	7519
504.176	7633.25	0	7633.25
504.31	7822.75	0	7822.75
504.443	8024.75	0	8024.75
504.577	8188.75	0	8188.75
504.71	8521.5	0	8521.5
504.844	8789.5	0	8789.5
504.977	8646.25	0	8646.25
505.111	8347.75	0	8347.75
505.244	8019.25	0	8019.25
505.377	7819.75	0	7819.75
505.511	7641.25	0	7641.25
505.644	7561.5	0	7561.5
505.777	7634.75	0	7634.75
505.911	7440.5	0	7440.5
506.044	7461.75	0	7461.75
506.177	7472.5	0	7472.5
506.311	7678.75	0	7678.75
506.444	7711.25	0	7711.25
506.577	7366.75	0	7366.75
506.71	7491.25	0	7491.25
506.844	7293.75	0	7293.75
506.977	7247.25	0	7247.25
507.11	7208	0	7208
507.243	7113.75	0	7113.75
507.376	7267	0	7267
507.51	7096.25	0	7096.25
507.643	7143.5	0	7143.5
507.776	7145.5	0	7145.5
507.909	7173.25	0	7173.25
508.042	7052.5	0	7052.5
508.175	7037	0	7037
508.308	7145.25	0	7145.25
508.441	7094.25	0	7094.25
508.574	7039	0	7039
508.707	7001.75	0	7001.75
508.84	6909	0	6909
508.973	6959.5	0	6959.5
509.106	6944.5	0	6944.5
509.239	6955.5	0	6955.5
509.372	7056.25	0	7056.25
509.505	7043.5	0	7043.5
509.638	6975.25	0	6975.25
509.771	6927.25	0	6927.25
509.904	7010.25	0	7010.25
510.037	7056.5	0	7056.5
510.17	7002.75	0	7002.75
510.303	7115.5	0	7115.5
510.436	7060.5	0	7060.5
510.568	7080.5	0	7080.5
510.701	6979.25	0	6979.25
510.834	6957.75	0	6957.75
510.967	7000.75	0	7000.75
511.1	7085.25	0	7085.25
511.232	7025.75	0	7025.75
511.365	7128	0	7128
511.498	7074.75	0	7074.75
511.631	7091.25	0	7091.25
511.763	7084.5	0	7084.5
511.896	7162.25	0	7162.25
512.029	7210.5	0	7210.5
512.161	7127.25	0	7127.25
512.294	7072	0	7072
512.427	7132.75	0	7132.75
512.559	7113	0	7113
512.692	7071.75	0	7071.75
512.825	7194	0	7194
512.957	7251	0	7251
513.09	7188.25	0	7188.25
513.222	7278	0	7278
513.355	7290.75	0	7290.75
513.487	7287.5	0	7287.5
513.62	7195	0	7195
513.752	7314.5	0	7314.5
513.885	7379.5	0	7379.5
514.017	7391.75	0	7391.75
514.15	7357.75	0	7357.75
514.282	7374	0	7374
514.415	7418.25	0	7418.25
514.547	7471.25	0	7471.25
514.68	7453.25	0	7453.25
514.812	7573.25	0	7573.25
514.944	7576	0	7576
515.077	7614	0	7614
515.209	7670.5	0	7670.5
515.341	7704.5	0	7704.5
515.474	7713.5	0	7713.5
515.606	7874	0	7874
515.738	7811	0	7811
515.871	7861.75	0	7861.75
516.003	8194.25	0	8194.25
516.135	8051.75	0	8051.75
516.267	8154	0	8154
516.4	8272	0	8272
516.532	8417.75	0	8417.75
516.664	8721.5	0	8721.5
516.796	8899.75	0	8899.75
516.928	9189	0	9189
517.06	9461.5	0	9461.5
517.193	9655.25	0	9655.25
517.325	10108.2	0	10108.2
517.457	10492.2	0	10492.2
517.589	10958.5	0	10958.5
517.721	11184.8	0	11184.8
517.853	11433.5	0	11433.5
517.985	11517.5	0	11517.5
518.117	11581	0	11581
518.249	11502.2	0	11502.2
518.381	11360.2	0	11360.2
518.513	10991.2	0	10991.2
518.645	10524.2	0	10524.2
518.777	10201.5	0	10201.5
518.909	9897.5	0	9897.5
519.041	9622	0	9622
519.173	9294	0	9294
519.305	9133.5	0	9133.5
519.437	8987.75	0	8987.75
519.569	8834.25	0	8834.25
519.701	8658	0	8658
519.832	8518	0	8518
519.964	8453.75	0	8453.75
520.096	8355.25	0	8355.25
520.228	8249.5	0	8249.5
520.36	8292	0	8292
520.491	8151	0	8151
520.623	7869.25	0	7869.25
520.755	7973	0	7973
520.887	7934.75	0	7934.75
521.018	7819	0	7819
521.15	7915	0	7915
521.282	7844	0	7844
521.414	7737.5	0	7737.5
521.545	7684.75	0	7684.75
521.677	7600	0	7600
521.808	7621	0	7621
521.94	7438.5	0	7438.5
522.072	7370.25	0	7370.25
522.203	7524.75	0	7524.75
522.335	7476	0	7476
522.466	7385.5	0	7385.5
522.598	7343.25	0	7343.25
522.729	7348	0	7348
522.861	7321.25	0	7321.25
522.993	7297.5	0	7297.5
523.124	7382.25	0	7382.25
523.256	7351	0	7351
523.387	7254.5	0	7254.5
523.518	7233	0	7233
523.65	7174.75	0	7174.75
523.781	7152	0	7152
523.913	7183.5	0	7183.5
524.044	7130.75	0	7130.75
524.176	7076	0	7076
524.307	7062.25	0	7062.25
524.438	6933	0	6933
524.57	7051.75	0	7051.75
524.701	6945.25	0	6945.25
524.832	6936.5	0	6936.5
524.964	6930.5	0	6930.5
525.095	6973	0	6973
525.226	7017.25	0	7017.25
525.357	6930	0	6930
525.489	6841.25	0	6841.25
525.62	6875.75	0	6875.75
525.751	6827	0	6827
525.882	6885	0	6885
526.013	6959.5	0	6959.5
526.145	6762.5	0	6762.5
526.276	6890.75	0	6890.75
526.407	6810.5	0	6810.5
526.538	6788	0	6788
526.669	6863.25	0	6863.25
526.8	6858.25	0	6858.25
526.931	6835.75	0	6835.75
527.062	6780.75	0	6780.75
527.193	6797	0	6797
527.324	6779	0	6779
527.455	6628	0	6628
527.586	6640.75	0	6640.75
527.717	6800.25	0	6800.25
527.848	6699.5	0	6699.5
527.979	6771.5	0	6771.5
528.11	6674	0	6674
528.241	6752.25	0	6752.25
528.372	6714.5	0	6714.5
528.503	6650.25	0	6650.25
528.634	6703.75	0	6703.75
528.765	6643.5	0	6643.5
528.896	6627.5	0	6627.5
529.026	6574.25	0	6574.25
529.157	6572	0	6572
529.288	6592.75	0	6592.75
529.419	6634.25	0	6634.25
529.55	6524.25	0	6524.25
529.681	6664	0	6664
529.811	6533	0	6533
529.942	6673.25	0	6673.25
530.073	6625.5	0	6625.5
530.203	6652	0	6652
530.334	6877	0	6877
530.465	7233	0	7233
530.596	7596.5	0	7596.5
530.726	7193.25	0	7193.25
530.857	6831.5	0	6831.5
530.987	6835.5	0	6835.5
531.118	6773	0	6773
531.249	6761.75	0	6761.75
531.379	6719.5	0	6719.5
531.51	6689.25	0	6689.25
531.64	6692.75	0	6692.75
