Lambda	Spectrum	Dark	SpecMinusDark
500.031	11067.8	0	11067.8
500.165	11832.5	0	11832.5
500.299	12765.8	0	12765.8
500.433	13736.8	0	13736.8
500.567	14419.2	0	14419.2
500.701	14826.2	0	14826.2
500.835	15015.8	0	15015.8
500.968	14822.8	0	14822.8
501.102	14559.8	0	14559.8
501.236	14137.5	0	14137.5
501.37	13655.5	0	13655.5
501.504	13007.8	0	13007.8
501.637	12441.8	0	12441.8
501.771	11963.2	0	11963.2
501.905	11482.2	0	11482.2
502.039	11216.2	0	11216.2
502.172	10714.2	0	10714.2
502.306	10499.2	0	10499.2
502.44	10437	0	10437
502.573	10285.5	0	10285.5
502.707	10231.5	0	10231.5
502.841	10284	0	10284
502.974	10241.5	0	10241.5
503.108	10401.5	0	10401.5
503.242	10351.8	0	10351.8
503.375	10355.8	0	10355.8
503.509	10466	0	10466
503.642	10491.2	0	10491.2
503.776	10295.8	0	10295.8
503.909	10011.2	0	10011.2
504.043	9908.25	0	9908.25
504.176	9945.5	0	9945.5
504.31	9966.5	0	9966.5
504.443	9959.75	0	9959.75
504.577	10154.5	0	10154.5
504.71	10286	0	10286
504.844	10409.2	0	10409.2
504.977	10336.2	0	10336.2
505.111	10073.8	0	10073.8
505.244	9802.75	0	9802.75
505.377	9663.5	0	9663.5
505.511	9554	0	9554
505.644	9421	0	9421
505.777	9471.75	0	9471.75
505.911	9266.75	0	9266.75
506.044	9279.75	0	9279.75
506.177	9100	0	9100
506.311	9236.5	0	9236.5
506.444	9245.25	0	9245.25
506.577	9130.25	0	9130.25
506.71	9112.75	0	9112.75
506.844	8968.5	0	8968.5
506.977	9096.75	0	9096.75
507.11	8864.5	0	8864.5
507.243	8939	0	8939
507.376	9047.25	0	9047.25
507.51	8960.75	0	8960.75
507.643	8875.25	0	8875.25
507.776	8954.25	0	8954.25
507.909	8884	0	8884
508.042	8773	0	8773
508.175	8812.25	0	8812.25
508.308	8843	0	8843
508.441	8749	0	8749
508.574	8755	0	8755
508.707	8716.5	0	8716.5
508.84	8774	0	8774
508.973	8793	0	8793
509.106	8707	0	8707
509.239	8783.5	0	8783.5
509.372	8780.25	0	8780.25
509.505	8800.5	0	8800.5
509.638	8830.5	0	8830.5
509.771	8798	0	8798
509.904	8930.25	0	8930.25
510.037	8846.5	0	8846.5
510.17	8796.25	0	8796.25
510.303	8953.25	0	8953.25
510.436	8985.5	0	8985.5
510.568	9067.5	0	9067.5
510.701	9025.75	0	9025.75
510.834	9089	0	9089
510.967	9003.5	0	9003.5
511.1	8950.75	0	8950.75
511.232	8920.75	0	8920.75
511.365	8973.75	0	8973.75
511.498	8966.5	0	8966.5
511.631	9011.25	0	9011.25
511.763	9015.75	0	9015.75
511.896	9030.75	0	9030.75
512.029	9017.25	0	9017.25
512.161	9099.25	0	9099.25
512.294	8909.5	0	8909.5
512.427	9005.25	0	9005.25
512.559	9006.75	0	9006.75
512.692	8913.5	0	8913.5
512.825	9013	0	9013
512.957	9015.75	0	9015.75
513.09	9115.5	0	9115.5
513.222	9261.75	0	9261.75
513.355	9217.75	0	9217.75
513.487	9196	0	9196
513.62	9184.25	0	9184.25
513.752	9418.25	0	9418.25
513.885	9305.75	0	9305.75
514.017	9373.75	0	9373.75
514.15	9353	0	9353
514.282	9444.5	0	9444.5
514.415	9574.5	0	9574.5
514.547	9604.25	0	9604.25
514.68	9658.75	0	9658.75
514.812	9684.5	0	9684.5
514.944	9689.75	0	9689.75
515.077	9654.25	0	9654.25
515.209	9728.5	0	9728.5
515.341	9772.75	0	9772.75
515.474	9827.25	0	9827.25
515.606	9997.75	0	9997.75
515.738	9971.5	0	9971.5
515.871	9962.75	0	9962.75
516.003	9943.75	0	9943.75
516.135	10226	0	10226
516.267	10208.8	0	10208.8
516.4	10424.2	0	10424.2
516.532	10593.2	0	10593.2
516.664	10659.2	0	10659.2
516.796	10808	0	10808
516.928	11079.2	0	11079.2
517.06	11442.5	0	11442.5
517.193	11620.5	0	11620.5
517.325	11867.5	0	11867.5
517.457	12110.5	0	12110.5
517.589	12407.5	0	12407.5
517.721	12685.8	0	12685.8
517.853	12867.2	0	12867.2
517.985	13088.2	0	13088.2
518.117	13065.8	0	13065.8
518.249	13092.8	0	13092.8
518.381	12864.8	0	12864.8
518.513	12705.5	0	12705.5
518.645	12421.5	0	12421.5
518.777	12214.2	0	12214.2
518.909	11825.8	0	11825.8
519.041	11793.2	0	11793.2
519.173	11714.8	0	11714.8
519.305	11528.2	0	11528.2
519.437	11454.5	0	11454.5
519.569	11260.2	0	11260.2
519.701	11338.5	0	11338.5
519.832	11269.8	0	11269.8
519.964	11160	0	11160
520.096	11118.2	0	11118.2
520.228	11293	0	11293
520.36	11246.8	0	11246.8
520.491	11120.8	0	11120.8
520.623	11065.5	0	11065.5
520.755	11162	0	11162
520.887	11167	0	11167
521.018	11157.8	0	11157.8
521.15	11066.2	0	11066.2
521.282	11081.2	0	11081.2
521.414	10968.5	0	10968.5
521.545	11016.5	0	11016.5
521.677	11049.2	0	11049.2
521.808	10753.5	0	10753.5
521.94	10729	0	10729
522.072	10628.2	0	10628.2
522.203	10450.2	0	10450.2
522.335	10290	0	10290
522.466	10221.2	0	10221.2
522.598	9892	0	9892
522.729	9894.5	0	9894.5
522.861	9990.5	0	9990.5
522.993	9791	0	9791
523.124	9653	0	9653
523.256	9558	0	9558
523.387	9669.25	0	9669.25
523.518	9526.25	0	9526.25
523.65	9469	0	9469
523.781	9419	0	9419
523.913	9471.5	0	9471.5
524.044	9361.5	0	9361.5
524.176	9313.5	0	9313.5
524.307	9199.5	0	9199.5
524.438	9155	0	9155
524.57	9168.75	0	9168.75
524.701	9133.75	0	9133.75
524.832	9164.25	0	9164.25
524.964	8996.75	0	8996.75
525.095	9104	0	9104
525.226	9002.75	0	9002.75
525.357	8940.75	0	8940.75
525.489	8953.5	0	8953.5
525.62	8934.25	0	8934.25
525.751	8912	0	8912
525.882	8823.75	0	8823.75
526.013	8842.25	0	8842.25
526.145	8809.25	0	8809.25
526.276	8869.5	0	8869.5
526.407	8805.5	0	8805.5
526.538	8739.75	0	8739.75
526.669	8903.5	0	8903.5
526.8	8878	0	8878
526.931	8668.25	0	8668.25
527.062	8796.25	0	8796.25
527.193	8736.75	0	8736.75
527.324	8673.25	0	8673.25
527.455	8691.5	0	8691.5
527.586	8729.5	0	8729.5
527.717	8627.5	0	8627.5
527.848	8735.75	0	8735.75
527.979	8666	0	8666
528.11	8689.25	0	8689.25
528.241	8596.75	0	8596.75
528.372	8714.25	0	8714.25
528.503	8624.25	0	8624.25
528.634	8558	0	8558
528.765	8702.5	0	8702.5
528.896	8618.75	0	8618.75
529.026	8602.5	0	8602.5
529.157	8602.5	0	8602.5
529.288	8644	0	8644
529.419	8677.25	0	8677.25
529.55	8624.75	0	8624.75
529.681	8547.25	0	8547.25
529.811	8630.25	0	8630.25
529.942	8718	0	8718
530.073	8754	0	8754
530.203	8724.75	0	8724.75
530.334	8690	0	8690
530.465	8531.5	0	8531.5
530.596	8686	0	8686
530.726	8739.5	0	8739.5
530.857	8727.25	0	8727.25
530.987	8791	0	8791
531.118	8879.75	0	8879.75
531.249	8873.5	0	8873.5
531.379	8984.75	0	8984.75
531.51	9189	0	9189
531.64	9235	0	9235
531.771	9394.25	0	9394.25
531.901	9588.25	0	9588.25
