Lambda	Spectrum	Dark	SpecMinusDark
500.031	9464.75	0	9464.75
500.165	10320.2	0	10320.2
500.299	11397.2	0	11397.2
500.433	12321.8	0	12321.8
500.567	13085.5	0	13085.5
500.701	13337.8	0	13337.8
500.835	13420	0	13420
500.968	13208	0	13208
501.102	12668.8	0	12668.8
501.236	12073.2	0	12073.2
501.37	11486.8	0	11486.8
501.504	10853	0	10853
501.637	10324.5	0	10324.5
501.771	9791.25	0	9791.25
501.905	9323	0	9323
502.039	9150.75	0	9150.75
502.172	8863	0	8863
502.306	8863.25	0	8863.25
502.44	8635.5	0	8635.5
502.573	8523.5	0	8523.5
502.707	8606.75	0	8606.75
502.841	8522	0	8522
502.974	8474.5	0	8474.5
503.108	8300.25	0	8300.25
503.242	8203.75	0	8203.75
503.375	8138.75	0	8138.75
503.509	8134	0	8134
503.642	8175.25	0	8175.25
503.776	8251	0	8251
503.909	8232.25	0	8232.25
504.043	8352.75	0	8352.75
504.176	8419.5	0	8419.5
504.31	8586	0	8586
504.443	8794	0	8794
504.577	8932	0	8932
504.71	9322.25	0	9322.25
504.844	9451.75	0	9451.75
504.977	9469.5	0	9469.5
505.111	9199.5	0	9199.5
505.244	9038.5	0	9038.5
505.377	8794.5	0	8794.5
505.511	8655.25	0	8655.25
505.644	8547.25	0	8547.25
505.777	8576.25	0	8576.25
505.911	8435.75	0	8435.75
506.044	8581.25	0	8581.25
506.177	8499	0	8499
506.311	8484.5	0	8484.5
506.444	8459.5	0	8459.5
506.577	8269.25	0	8269.25
506.71	8393	0	8393
506.844	8333.5	0	8333.5
506.977	8272.25	0	8272.25
507.11	8198.25	0	8198.25
507.243	8165.5	0	8165.5
507.376	8235	0	8235
507.51	8284.25	0	8284.25
507.643	8252.5	0	8252.5
507.776	8248	0	8248
507.909	8256.25	0	8256.25
508.042	8186	0	8186
508.175	8167.5	0	8167.5
508.308	8255.75	0	8255.75
508.441	8251	0	8251
508.574	8151	0	8151
508.707	8192	0	8192
508.84	8114.25	0	8114.25
508.973	8283.75	0	8283.75
509.106	8167.5	0	8167.5
509.239	8238.5	0	8238.5
509.372	8194	0	8194
509.505	8238.5	0	8238.5
509.638	8214.25	0	8214.25
509.771	8254.75	0	8254.75
509.904	8183.75	0	8183.75
510.037	8330.5	0	8330.5
510.17	8285.75	0	8285.75
510.303	8379.5	0	8379.5
510.436	8440.75	0	8440.75
510.568	8412.75	0	8412.75
510.701	8502.75	0	8502.75
510.834	8526.75	0	8526.75
510.967	8599.25	0	8599.25
511.1	8669.25	0	8669.25
511.232	8732.25	0	8732.25
511.365	8978.75	0	8978.75
511.498	8977.25	0	8977.25
511.631	9104	0	9104
511.763	9033.5	0	9033.5
511.896	9086	0	9086
512.029	8876.25	0	8876.25
512.161	8916	0	8916
512.294	8843	0	8843
512.427	8717.75	0	8717.75
512.559	8841	0	8841
512.692	8851	0	8851
512.825	8903.5	0	8903.5
512.957	9010	0	9010
513.09	9074.75	0	9074.75
513.222	8964.5	0	8964.5
513.355	9243.5	0	9243.5
513.487	9249.75	0	9249.75
513.62	9399.5	0	9399.5
513.752	9410.75	0	9410.75
513.885	9522.25	0	9522.25
514.017	9582.25	0	9582.25
514.15	9691.25	0	9691.25
514.282	9847.25	0	9847.25
514.415	9971.75	0	9971.75
514.547	10106.5	0	10106.5
514.68	10127.5	0	10127.5
514.812	10086.5	0	10086.5
514.944	10042.5	0	10042.5
515.077	9912.25	0	9912.25
515.209	9927.75	0	9927.75
515.341	10066.2	0	10066.2
515.474	10076.8	0	10076.8
515.606	10161.8	0	10161.8
515.738	10136.5	0	10136.5
515.871	10345.8	0	10345.8
516.003	10403	0	10403
516.135	10522.8	0	10522.8
516.267	10524.2	0	10524.2
516.4	10693.8	0	10693.8
516.532	10833.8	0	10833.8
516.664	10927.5	0	10927.5
516.796	11030.2	0	11030.2
516.928	11217	0	11217
517.06	11429.2	0	11429.2
517.193	11762.8	0	11762.8
517.325	11873.2	0	11873.2
517.457	12442	0	12442
517.589	12623	0	12623
517.721	12849.5	0	12849.5
517.853	12996.8	0	12996.8
517.985	13235	0	13235
518.117	13201.5	0	13201.5
518.249	13363	0	13363
518.381	13217.2	0	13217.2
518.513	12882.8	0	12882.8
518.645	12532	0	12532
518.777	12303.8	0	12303.8
518.909	11773	0	11773
519.041	11576.5	0	11576.5
519.173	11344.2	0	11344.2
519.305	11203	0	11203
519.437	11034.8	0	11034.8
519.569	10767	0	10767
519.701	10655.2	0	10655.2
519.832	10468	0	10468
519.964	10253	0	10253
520.096	10051.2	0	10051.2
520.228	10040.5	0	10040.5
520.36	10046.5	0	10046.5
520.491	9882	0	9882
520.623	9804	0	9804
520.755	9757	0	9757
520.887	9734.75	0	9734.75
521.018	9620.75	0	9620.75
521.15	9552	0	9552
521.282	9433.5	0	9433.5
521.414	9523.5	0	9523.5
521.545	9455.75	0	9455.75
521.677	9381.25	0	9381.25
521.808	9298	0	9298
521.94	9120.25	0	9120.25
522.072	9140.25	0	9140.25
522.203	9084.75	0	9084.75
522.335	9014.5	0	9014.5
522.466	8970.5	0	8970.5
522.598	8950.5	0	8950.5
522.729	8914	0	8914
522.861	8837.75	0	8837.75
522.993	8780.75	0	8780.75
523.124	8829.25	0	8829.25
523.256	8709.25	0	8709.25
523.387	8726.5	0	8726.5
523.518	8832.25	0	8832.25
523.65	8732.25	0	8732.25
523.781	8700	0	8700
523.913	8639	0	8639
524.044	8692.75	0	8692.75
524.176	8622.5	0	8622.5
524.307	8654.5	0	8654.5
524.438	8445	0	8445
524.57	8609	0	8609
524.701	8509.25	0	8509.25
524.832	8446.25	0	8446.25
524.964	8422.75	0	8422.75
525.095	8368	0	8368
525.226	8335	0	8335
525.357	8260	0	8260
525.489	8140.5	0	8140.5
525.62	8041.25	0	8041.25
525.751	8123.5	0	8123.5
525.882	8046.5	0	8046.5
526.013	7970.5	0	7970.5
526.145	7943.25	0	7943.25
526.276	7845.5	0	7845.5
526.407	7817.75	0	7817.75
526.538	7876.75	0	7876.75
526.669	7771.25	0	7771.25
526.8	7783.5	0	7783.5
526.931	7673.25	0	7673.25
527.062	7748.25	0	7748.25
527.193	7746.25	0	7746.25
527.324	7565	0	7565
527.455	7608.25	0	7608.25
527.586	7622	0	7622
527.717	7502.5	0	7502.5
527.848	7566	0	7566
527.979	7491.5	0	7491.5
528.11	7409.5	0	7409.5
528.241	7514	0	7514
528.372	7429.25	0	7429.25
528.503	7471.5	0	7471.5
528.634	7408.25	0	7408.25
528.765	7393.75	0	7393.75
528.896	7303	0	7303
529.026	7182	0	7182
529.157	7225.75	0	7225.75
529.288	7169.5	0	7169.5
529.419	7222.25	0	7222.25
529.55	7181	0	7181
529.681	7136.5	0	7136.5
529.811	7065.25	0	7065.25
529.942	7008.75	0	7008.75
530.073	7089	0	7089
530.203	7144.5	0	7144.5
530.334	7096.75	0	7096.75
530.465	7067.5	0	7067.5
530.596	7018.25	0	7018.25
530.726	7035.5	0	7035.5
530.857	7075.25	0	7075.25
530.987	7014.75	0	7014.75
531.118	7048.75	0	7048.75
531.249	7027	0	7027
531.379	6914.75	0	6914.75
531.51	7009.5	0	7009.5
531.64	7021.25	0	7021.25
531.771	6934.25	0	6934.25
531.901	7054.5	0	7054.5
532.032	6995.75	0	6995.75
532.163	6933.25	0	6933.25
532.293	6967.5	0	6967.5
532.423	6962	0	6962
532.554	6907.75	0	6907.75
532.684	7083.75	0	7083.75
532.815	7014	0	7014
532.945	6901.25	0	6901.25
533.076	6903	0	6903
533.206	6904.75	0	6904.75
533.336	6878.25	0	6878.25
533.467	6858	0	6858
533.597	6854.5	0	6854.5
533.727	6828	0	6828
533.858	6868.25	0	6868.25
533.988	6905.5	0	6905.5
534.118	6842.5	0	6842.5
534.248	6803.75	0	6803.75
534.379	6866.5	0	6866.5
534.509	6859.5	0	6859.5
534.639	6860.25	0	6860.25
534.769	6888.75	0	6888.75
534.9	6855.25	0	6855.25
535.03	6832.75	0	6832.75
535.16	6927.75	0	6927.75
535.29	6858	0	6858
535.42	6881.25	0	6881.25
535.55	6863.5	0	6863.5
535.68	6948.75	0	6948.75
535.81	6869.25	0	6869.25
535.94	6781	0	6781
536.071	6744	0	6744
536.201	6720.75	0	6720.75
536.331	6751.75	0	6751.75
536.461	6705.5	0	6705.5
536.591	6707.5	0	6707.5
536.721	6746.5	0	6746.5
536.851	6715.75	0	6715.75
536.981	6775.25	0	6775.25
537.11	6683.25	0	6683.25
537.24	6596.75	0	6596.75
537.37	6727.75	0	6727.75
537.5	6772.25	0	6772.25
537.63	6836.5	0	6836.5
537.76	6727	0	6727
537.89	6718.25	0	6718.25
538.02	6895.75	0	6895.75
538.149	7006.5	0	7006.5
538.279	7054.25	0	7054.25
538.409	7116.5	0	7116.5
538.539	7202	0	7202
538.669	7004.75	0	7004.75
538.798	6760.25	0	6760.25
538.928	6650	0	6650
539.058	6573.25	0	6573.25
539.187	6533	0	6533
539.317	6508.25	0	6508.25
539.447	6381.5	0	6381.5
539.576	6401.5	0	6401.5
539.706	6339.5	0	6339.5
539.836	6375	0	6375
539.965	6406	0	6406
540.095	6232.75	0	6232.75
540.225	6282.25	0	6282.25
540.354	6298.75	0	6298.75
540.484	6348.5	0	6348.5
540.613	6229	0	6229
540.743	6246.75	0	6246.75
540.872	6225.5	0	6225.5
541.002	6145.25	0	6145.25
541.131	6108.75	0	6108.75
541.261	6200.5	0	6200.5
541.39	6095.25	0	6095.25
541.52	6120.25	0	6120.25
541.649	6104	0	6104
541.778	6116.75	0	6116.75
541.908	5985.25	0	5985.25
542.037	6069.5	0	6069.5
542.167	6069.5	0	6069.5
542.296	6075	0	6075
542.425	5963.25	0	5963.25
542.554	5997	0	5997
542.684	5958.25	0	5958.25
542.813	5981.25	0	5981.25
542.942	5956.5	0	5956.5
543.072	5988.5	0	5988.5
543.201	6014	0	6014
543.33	6004.5	0	6004.5
543.459	6002.5	0	6002.5
543.588	5941.75	0	5941.75
543.718	5999.75	0	5999.75
543.847	5976.5	0	5976.5
543.976	6005.75	0	6005.75
544.105	6036.75	0	6036.75
544.234	5957.75	0	5957.75
544.363	5992.25	0	5992.25
544.492	6038.25	0	6038.25
544.621	5952.25	0	5952.25
544.75	6119.75	0	6119.75
544.88	6073.25	0	6073.25
545.009	6073.5	0	6073.5
545.138	6152.5	0	6152.5
545.266	6040	0	6040
545.396	6064.25	0	6064.25
