Lambda	Spectrum	Dark	SpecMinusDark
500.031	9188	0	9188
500.165	9894.25	0	9894.25
500.299	10916	0	10916
500.433	11696.5	0	11696.5
500.567	12327	0	12327
500.701	12697.5	0	12697.5
500.835	12668.5	0	12668.5
500.968	12413	0	12413
501.102	12009.8	0	12009.8
501.236	11501	0	11501
501.37	11097.8	0	11097.8
501.504	10494.2	0	10494.2
501.637	10074	0	10074
501.771	9505.75	0	9505.75
501.905	9307.5	0	9307.5
502.039	9069.25	0	9069.25
502.172	8789	0	8789
502.306	8728	0	8728
502.44	8590.25	0	8590.25
502.573	8539.75	0	8539.75
502.707	8450.5	0	8450.5
502.841	8366	0	8366
502.974	8451.5	0	8451.5
503.108	8362.5	0	8362.5
503.242	8289.75	0	8289.75
503.375	8416.25	0	8416.25
503.509	8407.5	0	8407.5
503.642	8529.25	0	8529.25
503.776	8540.75	0	8540.75
503.909	8680.75	0	8680.75
504.043	9072.5	0	9072.5
504.176	9279.25	0	9279.25
504.31	9462	0	9462
504.443	10103.2	0	10103.2
504.577	10474.8	0	10474.8
504.71	10981.8	0	10981.8
504.844	11301	0	11301
504.977	11314.5	0	11314.5
505.111	11387	0	11387
505.244	11295.2	0	11295.2
505.377	11301.8	0	11301.8
505.511	11357	0	11357
505.644	11544.2	0	11544.2
505.777	11871.5	0	11871.5
505.911	12089.5	0	12089.5
506.044	12738.8	0	12738.8
506.177	13021	0	13021
506.311	13222	0	13222
506.444	13187.8	0	13187.8
506.577	12911.2	0	12911.2
506.71	12795.2	0	12795.2
506.844	12543.5	0	12543.5
506.977	12343	0	12343
507.11	12078.2	0	12078.2
507.243	11956	0	11956
507.376	11674	0	11674
507.51	11514.2	0	11514.2
507.643	11234	0	11234
507.776	11146.5	0	11146.5
507.909	10901.5	0	10901.5
508.042	10708	0	10708
508.175	10541.5	0	10541.5
508.308	10473.5	0	10473.5
508.441	10301.8	0	10301.8
508.574	9950.75	0	9950.75
508.707	9898.5	0	9898.5
508.84	9737.25	0	9737.25
508.973	9789.25	0	9789.25
509.106	9625.25	0	9625.25
509.239	9449.25	0	9449.25
509.372	9481.75	0	9481.75
509.505	9250.5	0	9250.5
509.638	9259.5	0	9259.5
509.771	9153.5	0	9153.5
509.904	9071.5	0	9071.5
