Lambda	Spectrum	Dark	SpecMinusDark
500.031	10750.5	0	10750.5
500.165	11757.8	0	11757.8
500.299	13026.5	0	13026.5
500.433	14037.8	0	14037.8
500.567	14861.5	0	14861.5
500.701	15116.8	0	15116.8
500.835	15218.2	0	15218.2
500.968	14870.2	0	14870.2
501.102	14128.2	0	14128.2
501.236	13476.8	0	13476.8
501.37	12865.8	0	12865.8
501.504	12050.5	0	12050.5
501.637	11338	0	11338
501.771	10579	0	10579
501.905	10298.8	0	10298.8
502.039	9904.25	0	9904.25
502.172	9644.75	0	9644.75
502.306	9454	0	9454
502.44	9170	0	9170
502.573	9107.25	0	9107.25
502.707	9072	0	9072
502.841	8907.25	0	8907.25
502.974	8789	0	8789
503.108	8609.5	0	8609.5
503.242	8543	0	8543
503.375	8456.5	0	8456.5
503.509	8348.5	0	8348.5
503.642	8367.5	0	8367.5
503.776	8177.25	0	8177.25
503.909	8273	0	8273
504.043	8404.25	0	8404.25
504.176	8418.25	0	8418.25
504.31	8494.25	0	8494.25
504.443	8835	0	8835
504.577	9052	0	9052
504.71	9324	0	9324
504.844	9695.5	0	9695.5
504.977	9547.5	0	9547.5
505.111	9338	0	9338
505.244	8850	0	8850
505.377	8834.5	0	8834.5
505.511	8510.25	0	8510.25
505.644	8569.75	0	8569.75
505.777	8441.5	0	8441.5
505.911	8428.5	0	8428.5
506.044	8501.25	0	8501.25
506.177	8340.5	0	8340.5
506.311	8466.25	0	8466.25
506.444	8383.75	0	8383.75
506.577	8370.25	0	8370.25
506.71	8323	0	8323
506.844	8259.25	0	8259.25
506.977	8286	0	8286
507.11	8139.75	0	8139.75
507.243	8289.5	0	8289.5
507.376	8182.5	0	8182.5
507.51	8238.5	0	8238.5
507.643	8273.5	0	8273.5
507.776	8365.25	0	8365.25
507.909	8444.25	0	8444.25
508.042	8329.75	0	8329.75
508.175	8352.25	0	8352.25
508.308	8238.75	0	8238.75
508.441	8258.5	0	8258.5
508.574	8259	0	8259
508.707	8335.75	0	8335.75
508.84	8243	0	8243
508.973	8342.25	0	8342.25
509.106	8293.75	0	8293.75
509.239	8399	0	8399
509.372	8522.25	0	8522.25
509.505	8407	0	8407
509.638	8493.5	0	8493.5
509.771	8509.25	0	8509.25
509.904	8447.5	0	8447.5
510.037	8707	0	8707
510.17	8815	0	8815
510.303	8972.25	0	8972.25
510.436	8898.5	0	8898.5
510.568	8894.75	0	8894.75
510.701	8946	0	8946
510.834	8773	0	8773
510.967	8765.5	0	8765.5
511.1	8756.75	0	8756.75
511.232	8726.25	0	8726.25
511.365	8706.5	0	8706.5
511.498	8685.5	0	8685.5
511.631	8783.75	0	8783.75
511.763	8670.25	0	8670.25
511.896	8611.5	0	8611.5
512.029	8727.75	0	8727.75
512.161	8674.75	0	8674.75
512.294	8572.75	0	8572.75
512.427	8432	0	8432
512.559	8511.25	0	8511.25
512.692	8461.75	0	8461.75
512.825	8522.25	0	8522.25
512.957	8443.25	0	8443.25
513.09	8559.5	0	8559.5
513.222	8457	0	8457
513.355	8557.25	0	8557.25
513.487	8513	0	8513
513.62	8511.5	0	8511.5
513.752	8551.25	0	8551.25
513.885	8598.5	0	8598.5
514.017	8643	0	8643
514.15	8552.5	0	8552.5
514.282	8587.75	0	8587.75
514.415	8740.5	0	8740.5
514.547	8730.25	0	8730.25
514.68	8703	0	8703
514.812	8645.75	0	8645.75
514.944	8756.75	0	8756.75
515.077	8717.25	0	8717.25
515.209	8830.5	0	8830.5
515.341	8844	0	8844
515.474	8789.25	0	8789.25
515.606	9038.75	0	9038.75
515.738	8972.5	0	8972.5
515.871	9024.75	0	9024.75
516.003	9046.5	0	9046.5
516.135	9285.5	0	9285.5
516.267	9238.75	0	9238.75
516.4	9351.25	0	9351.25
516.532	9508.25	0	9508.25
516.664	9704.75	0	9704.75
516.796	10017.2	0	10017.2
516.928	10076.2	0	10076.2
517.06	10283	0	10283
517.193	10669.5	0	10669.5
517.325	11086.2	0	11086.2
517.457	11326	0	11326
517.589	11691	0	11691
517.721	11905.5	0	11905.5
517.853	12211.2	0	12211.2
517.985	12256.5	0	12256.5
518.117	12341.5	0	12341.5
518.249	12332	0	12332
518.381	12198.8	0	12198.8
518.513	11786.5	0	11786.5
518.645	11402.2	0	11402.2
518.777	11101.2	0	11101.2
518.909	10893.5	0	10893.5
519.041	10539.8	0	10539.8
519.173	10365.8	0	10365.8
519.305	10170	0	10170
519.437	9942	0	9942
519.569	9924.75	0	9924.75
519.701	9834.75	0	9834.75
519.832	9618.75	0	9618.75
519.964	9481	0	9481
520.096	9347	0	9347
520.228	9443.75	0	9443.75
520.36	9378.75	0	9378.75
520.491	9157.25	0	9157.25
520.623	9141	0	9141
520.755	9238.5	0	9238.5
520.887	9136.25	0	9136.25
521.018	8998.75	0	8998.75
521.15	9058.5	0	9058.5
521.282	9204.5	0	9204.5
521.414	9047.75	0	9047.75
521.545	9065.5	0	9065.5
521.677	9077.25	0	9077.25
521.808	9105.75	0	9105.75
521.94	9001.25	0	9001.25
522.072	8854.25	0	8854.25
522.203	9011.25	0	9011.25
522.335	8811	0	8811
522.466	8901.75	0	8901.75
522.598	8804	0	8804
522.729	8797	0	8797
522.861	8785	0	8785
522.993	8738	0	8738
523.124	8713.75	0	8713.75
523.256	8630	0	8630
523.387	8671.5	0	8671.5
523.518	8569	0	8569
523.65	8474.5	0	8474.5
523.781	8470.75	0	8470.75
523.913	8427	0	8427
524.044	8322.75	0	8322.75
524.176	8300	0	8300
524.307	8319.75	0	8319.75
524.438	8317.75	0	8317.75
524.57	8253	0	8253
524.701	8263.75	0	8263.75
524.832	8220	0	8220
524.964	8149.75	0	8149.75
525.095	8144.25	0	8144.25
525.226	8177.5	0	8177.5
525.357	8125.25	0	8125.25
525.489	7921.5	0	7921.5
525.62	8103.75	0	8103.75
525.751	8063	0	8063
525.882	7976.75	0	7976.75
526.013	8024	0	8024
526.145	7886.75	0	7886.75
526.276	7929.25	0	7929.25
526.407	7871	0	7871
526.538	7908.25	0	7908.25
526.669	7941.5	0	7941.5
526.8	7960.75	0	7960.75
526.931	7917.5	0	7917.5
527.062	7897	0	7897
527.193	8000	0	8000
527.324	7940.75	0	7940.75
527.455	7911.75	0	7911.75
527.586	7916.75	0	7916.75
527.717	7905	0	7905
527.848	7906	0	7906
527.979	7845.25	0	7845.25
528.11	7843.25	0	7843.25
528.241	7918.25	0	7918.25
528.372	7859	0	7859
528.503	7906.5	0	7906.5
528.634	7860.5	0	7860.5
528.765	7850.5	0	7850.5
528.896	7909	0	7909
529.026	7740	0	7740
529.157	7882.25	0	7882.25
529.288	7890.75	0	7890.75
529.419	7911.25	0	7911.25
529.55	7845	0	7845
529.681	7923	0	7923
529.811	7855	0	7855
529.942	7942.25	0	7942.25
530.073	7880	0	7880
530.203	7924.5	0	7924.5
530.334	7897	0	7897
530.465	7952	0	7952
530.596	7818	0	7818
530.726	7838	0	7838
530.857	7864.25	0	7864.25
530.987	7876.5	0	7876.5
531.118	7891.5	0	7891.5
531.249	7964.5	0	7964.5
531.379	7928	0	7928
531.51	8063	0	8063
531.64	8098.25	0	8098.25
531.771	8010.25	0	8010.25
531.901	8083.25	0	8083.25
532.032	8106	0	8106
532.163	8134	0	8134
532.293	8023.5	0	8023.5
532.423	8017.5	0	8017.5
532.554	8192	0	8192
532.684	8218.5	0	8218.5
532.815	8241.5	0	8241.5
532.945	8379.75	0	8379.75
533.076	8367.25	0	8367.25
533.206	8447.5	0	8447.5
533.336	8485.75	0	8485.75
533.467	8531.25	0	8531.25
533.597	8803.75	0	8803.75
533.727	8841.5	0	8841.5
533.858	8872.25	0	8872.25
533.988	8838.25	0	8838.25
534.118	8789	0	8789
534.248	8862.25	0	8862.25
534.379	8750.25	0	8750.25
534.509	8662	0	8662
534.639	8540.5	0	8540.5
534.769	8553.5	0	8553.5
534.9	8454.5	0	8454.5
535.03	8497.5	0	8497.5
535.16	8496	0	8496
535.29	8374.25	0	8374.25
535.42	8379.75	0	8379.75
535.55	8363.75	0	8363.75
535.68	8332.75	0	8332.75
535.81	8339	0	8339
535.94	8201	0	8201
536.071	8095.75	0	8095.75
536.201	8045.75	0	8045.75
536.331	7871.75	0	7871.75
536.461	7809.5	0	7809.5
536.591	7868.5	0	7868.5
536.721	7735.75	0	7735.75
536.851	7836.25	0	7836.25
536.981	7810.25	0	7810.25
537.11	7694.75	0	7694.75
537.24	7675.75	0	7675.75
537.37	7603.75	0	7603.75
537.5	7571	0	7571
537.63	7585	0	7585
537.76	7377.25	0	7377.25
537.89	7486.75	0	7486.75
538.02	7471.25	0	7471.25
538.149	7375	0	7375
538.279	7465.5	0	7465.5
538.409	7447	0	7447
538.539	7421.25	0	7421.25
538.669	7228	0	7228
538.798	7192	0	7192
538.928	7224.75	0	7224.75
539.058	7142	0	7142
539.187	7155	0	7155
539.317	7220.5	0	7220.5
539.447	7116.5	0	7116.5
539.576	7149.75	0	7149.75
539.706	7212	0	7212
539.836	7108	0	7108
539.965	7040.75	0	7040.75
540.095	7172.25	0	7172.25
540.225	7147.25	0	7147.25
540.354	6930	0	6930
540.484	7083	0	7083
540.613	6979.25	0	6979.25
540.743	7045	0	7045
540.872	6993.5	0	6993.5
541.002	6999.5	0	6999.5
541.131	6996.5	0	6996.5
541.261	7171.5	0	7171.5
541.39	6996.5	0	6996.5
541.52	6953.25	0	6953.25
541.649	6879.75	0	6879.75
541.778	6892.25	0	6892.25
541.908	6871.75	0	6871.75
542.037	6899.75	0	6899.75
542.167	6972.5	0	6972.5
542.296	6857.25	0	6857.25
542.425	6880	0	6880
542.554	6795.25	0	6795.25
542.684	6758.25	0	6758.25
542.813	6863.75	0	6863.75
542.942	6805.5	0	6805.5
543.072	6747.5	0	6747.5
543.201	6824	0	6824
543.33	6793.5	0	6793.5
543.459	6788.75	0	6788.75
543.588	6838.75	0	6838.75
543.718	6913.25	0	6913.25
543.847	6875	0	6875
543.976	6820.25	0	6820.25
544.105	6877.75	0	6877.75
544.234	6878.75	0	6878.75
544.363	6903	0	6903
544.492	6851.5	0	6851.5
544.621	6975	0	6975
544.75	6916.25	0	6916.25
544.88	6970.75	0	6970.75
545.009	6880	0	6880
545.138	7005.25	0	7005.25
545.266	6936	0	6936
545.396	7055	0	7055
545.525	6958.75	0	6958.75
545.653	7018	0	7018
545.782	7068	0	7068
545.911	7112	0	7112
546.04	7074	0	7074
546.169	6995.75	0	6995.75
546.298	7228.5	0	7228.5
546.427	7059	0	7059
546.556	7077	0	7077
546.685	7143	0	7143
546.813	7071.25	0	7071.25
546.942	6998.25	0	6998.25
547.071	7018	0	7018
547.2	6982.5	0	6982.5
547.328	7067.5	0	7067.5
547.457	6967	0	6967
547.586	6990.5	0	6990.5
547.715	7046.5	0	7046.5
547.843	6968.75	0	6968.75
547.972	7148.75	0	7148.75
548.101	7235	0	7235
