Lambda	Spectrum	Dark	SpecMinusDark
500.031	3984.5	0	3984.5
500.165	4339	0	4339
500.299	4779	0	4779
500.433	5143.75	0	5143.75
500.567	5315.5	0	5315.5
500.701	5419.75	0	5419.75
500.835	5519	0	5519
500.968	5333.5	0	5333.5
501.102	5204.25	0	5204.25
501.236	4893.25	0	4893.25
501.37	4749.25	0	4749.25
501.504	4500	0	4500
501.637	4433.25	0	4433.25
501.771	4146	0	4146
501.905	3875.5	0	3875.5
502.039	3773	0	3773
502.172	3718.5	0	3718.5
502.306	3533	0	3533
502.44	3516.5	0	3516.5
502.573	3535.25	0	3535.25
502.707	3494	0	3494
502.841	3424.75	0	3424.75
502.974	3410	0	3410
503.108	3382.25	0	3382.25
503.242	3400.5	0	3400.5
503.375	3412.5	0	3412.5
503.509	3398.25	0	3398.25
503.642	3361	0	3361
503.776	3406	0	3406
503.909	3580.75	0	3580.75
504.043	3695.25	0	3695.25
504.176	3998.5	0	3998.5
504.31	3683	0	3683
504.443	3595.5	0	3595.5
504.577	3777.75	0	3777.75
504.71	3936.5	0	3936.5
504.844	3967.25	0	3967.25
504.977	3857.5	0	3857.5
505.111	3709.25	0	3709.25
505.244	3591.25	0	3591.25
505.377	3520.25	0	3520.25
505.511	3455	0	3455
505.644	3527.75	0	3527.75
505.777	3497.5	0	3497.5
505.911	3560.5	0	3560.5
506.044	3662.5	0	3662.5
506.177	3636.5	0	3636.5
506.311	3511.25	0	3511.25
506.444	3474.75	0	3474.75
506.577	3471.25	0	3471.25
506.71	3516.25	0	3516.25
506.844	3519.25	0	3519.25
506.977	3558.5	0	3558.5
507.11	3550.25	0	3550.25
507.243	3743	0	3743
507.376	3550	0	3550
507.51	3474.5	0	3474.5
507.643	3453.25	0	3453.25
507.776	3476	0	3476
507.909	3593.5	0	3593.5
508.042	3511	0	3511
508.175	3554.75	0	3554.75
508.308	3508	0	3508
508.441	3483.5	0	3483.5
508.574	3441.25	0	3441.25
508.707	3387	0	3387
508.84	3467.25	0	3467.25
508.973	3527.5	0	3527.5
509.106	3536.75	0	3536.75
509.239	3654	0	3654
509.372	3545.5	0	3545.5
509.505	3652	0	3652
509.638	3515.75	0	3515.75
509.771	3387.25	0	3387.25
509.904	3517	0	3517
510.037	3538.75	0	3538.75
