Lambda	Spectrum	Dark	SpecMinusDark
500.031	5677	0	5677
500.165	6989.5	0	6989.5
500.299	8080.75	0	8080.75
500.433	6956.5	0	6956.5
500.567	5852.5	0	5852.5
500.701	5564	0	5564
500.835	6281.25	0	6281.25
500.968	7388.25	0	7388.25
501.102	8198.75	0	8198.75
501.236	6828.75	0	6828.75
501.37	6262.5	0	6262.5
501.504	6801.5	0	6801.5
501.637	8346.5	0	8346.5
501.771	9855.25	0	9855.25
501.905	9017.25	0	9017.25
502.039	8009.75	0	8009.75
502.172	6996.25	0	6996.25
502.306	7656.25	0	7656.25
502.44	8460.5	0	8460.5
502.573	8180.5	0	8180.5
502.707	9148.75	0	9148.75
502.841	8719.5	0	8719.5
502.974	8069	0	8069
503.108	6194.25	0	6194.25
503.242	5562.25	0	5562.25
503.375	5436.25	0	5436.25
503.509	5536.75	0	5536.75
503.642	6167	0	6167
503.776	7622	0	7622
503.909	9420	0	9420
504.043	11885	0	11885
504.176	10852.2	0	10852.2
504.31	10200	0	10200
504.443	9175.5	0	9175.5
504.577	7062.5	0	7062.5
504.71	6256	0	6256
504.844	6231	0	6231
504.977	5826.5	0	5826.5
505.111	5514.75	0	5514.75
505.244	5461.75	0	5461.75
505.377	5652.5	0	5652.5
505.511	5953	0	5953
505.644	6028.25	0	6028.25
505.777	6067.75	0	6067.75
505.911	5513.25	0	5513.25
506.044	5366.25	0	5366.25
506.177	5477	0	5477
506.311	5461.5	0	5461.5
506.444	5833.25	0	5833.25
506.577	6562.5	0	6562.5
506.71	7889.5	0	7889.5
506.844	8885	0	8885
506.977	8799.75	0	8799.75
507.11	6321.5	0	6321.5
507.243	5618.75	0	5618.75
507.376	5816.25	0	5816.25
507.51	5537	0	5537
507.643	5526.75	0	5526.75
507.776	4775.25	0	4775.25
507.909	4664.75	0	4664.75
508.042	4500	0	4500
508.175	4556	0	4556
508.308	4446.75	0	4446.75
508.441	4481	0	4481
508.574	4403.25	0	4403.25
508.707	4585.5	0	4585.5
508.84	4807.5	0	4807.5
508.973	5161.75	0	5161.75
509.106	5391	0	5391
509.239	5096	0	5096
509.372	4610.75	0	4610.75
509.505	4478.25	0	4478.25
509.638	4328.75	0	4328.75
509.771	4380.5	0	4380.5
509.904	4264.5	0	4264.5
510.037	4251.75	0	4251.75
510.17	4282	0	4282
510.303	4401.25	0	4401.25
510.436	4214.25	0	4214.25
510.568	4282.75	0	4282.75
510.701	4277.75	0	4277.75
510.834	4221	0	4221
510.967	4134	0	4134
511.1	4273.5	0	4273.5
511.232	4229.75	0	4229.75
511.365	4532.75	0	4532.75
511.498	4747.5	0	4747.5
511.631	5024.5	0	5024.5
511.763	5471.25	0	5471.25
511.896	4898.25	0	4898.25
512.029	4522.25	0	4522.25
512.161	4649.25	0	4649.25
512.294	5134.75	0	5134.75
512.427	5616.5	0	5616.5
512.559	5521	0	5521
512.692	4499.5	0	4499.5
512.825	4193	0	4193
512.957	4207.75	0	4207.75
513.09	4173.25	0	4173.25
513.222	4082	0	4082
513.355	3970.25	0	3970.25
513.487	3940	0	3940
513.62	3879.25	0	3879.25
513.752	4012.5	0	4012.5
513.885	3975	0	3975
514.017	3901.5	0	3901.5
514.15	3953	0	3953
514.282	3995	0	3995
514.415	4064.75	0	4064.75
514.547	4185.5	0	4185.5
514.68	4521.25	0	4521.25
514.812	5159	0	5159
514.944	6311	0	6311
515.077	6438.75	0	6438.75
515.209	6127.25	0	6127.25
515.341	4796	0	4796
515.474	4912.5	0	4912.5
515.606	5384.5	0	5384.5
515.738	5277.25	0	5277.25
515.871	4039	0	4039
516.003	3878	0	3878
516.135	3824.75	0	3824.75
516.267	3837.25	0	3837.25
516.4	3850.5	0	3850.5
516.532	3839.5	0	3839.5
516.664	4007	0	4007
516.796	4228.75	0	4228.75
516.928	5183	0	5183
517.06	6960.25	0	6960.25
517.193	9504.75	0	9504.75
517.325	9966.5	0	9966.5
517.457	10935.2	0	10935.2
517.589	11651.5	0	11651.5
517.721	12600	0	12600
517.853	13739.2	0	13739.2
517.985	10445.2	0	10445.2
518.117	9454.5	0	9454.5
518.249	9154.75	0	9154.75
518.381	8956.5	0	8956.5
518.513	8802	0	8802
518.645	8660.5	0	8660.5
518.777	8793.25	0	8793.25
518.909	8801.25	0	8801.25
519.041	8859.25	0	8859.25
519.173	9114.5	0	9114.5
519.305	9351.25	0	9351.25
519.437	10116.5	0	10116.5
519.569	11302.5	0	11302.5
519.701	13120.5	0	13120.5
519.832	12409.2	0	12409.2
519.964	9222.5	0	9222.5
520.096	8300.75	0	8300.75
520.228	8160.25	0	8160.25
520.36	8172.75	0	8172.75
520.491	8241.5	0	8241.5
520.623	8279.25	0	8279.25
520.755	8312.75	0	8312.75
520.887	8424	0	8424
521.018	8795.25	0	8795.25
521.15	9756.25	0	9756.25
521.282	10809	0	10809
521.414	12537.2	0	12537.2
521.545	13369.5	0	13369.5
521.677	9384	0	9384
521.808	8047.5	0	8047.5
521.94	7605	0	7605
522.072	7522	0	7522
522.203	7875.75	0	7875.75
522.335	8176	0	8176
522.466	8744.75	0	8744.75
522.598	8514	0	8514
522.729	9627	0	9627
522.861	10879.8	0	10879.8
522.993	10266.5	0	10266.5
523.124	7901.75	0	7901.75
523.256	7325.5	0	7325.5
523.387	7117.5	0	7117.5
523.518	6920.75	0	6920.75
523.65	6690.75	0	6690.75
523.781	6667.25	0	6667.25
523.913	6569.75	0	6569.75
524.044	6716.25	0	6716.25
524.176	6994.75	0	6994.75
524.307	7635.75	0	7635.75
524.438	7719	0	7719
524.57	8102.75	0	8102.75
524.701	7537	0	7537
524.832	7483.25	0	7483.25
524.964	7771.75	0	7771.75
525.095	7948.5	0	7948.5
525.226	7923.75	0	7923.75
525.357	7607	0	7607
525.489	7524	0	7524
525.62	8062.75	0	8062.75
525.751	7541.75	0	7541.75
525.882	7088.25	0	7088.25
526.013	7101	0	7101
526.145	6992.5	0	6992.5
526.276	6816.75	0	6816.75
526.407	6945.75	0	6945.75
526.538	7016.5	0	7016.5
526.669	7035	0	7035
526.8	7443.75	0	7443.75
526.931	7681.25	0	7681.25
527.062	7903.25	0	7903.25
527.193	7279.75	0	7279.75
527.324	6779.5	0	6779.5
527.455	6613.75	0	6613.75
527.586	6501	0	6501
527.717	6350.5	0	6350.5
527.848	6295.75	0	6295.75
527.979	6220.25	0	6220.25
528.11	6142.25	0	6142.25
528.241	6204	0	6204
528.372	6363.25	0	6363.25
528.503	6795.75	0	6795.75
528.634	7033	0	7033
528.765	7499.5	0	7499.5
528.896	7018	0	7018
529.026	6307.5	0	6307.5
529.157	6179.25	0	6179.25
529.288	6194	0	6194
529.419	6079.75	0	6079.75
529.55	5911	0	5911
529.681	5944.75	0	5944.75
529.811	6122	0	6122
529.942	6449.5	0	6449.5
530.073	6968.75	0	6968.75
530.203	7066	0	7066
530.334	6500.25	0	6500.25
530.465	5975	0	5975
530.596	5591.75	0	5591.75
530.726	5574.75	0	5574.75
530.857	5463.5	0	5463.5
530.987	5558	0	5558
531.118	5615	0	5615
531.249	5903.75	0	5903.75
531.379	5833.25	0	5833.25
531.51	5814.75	0	5814.75
531.64	6050	0	6050
531.771	5908	0	5908
531.901	5808.25	0	5808.25
532.032	5707	0	5707
532.163	5677.75	0	5677.75
532.293	5568.5	0	5568.5
532.423	5578.5	0	5578.5
532.554	5570	0	5570
532.684	5529	0	5529
532.815	5577.25	0	5577.25
532.945	5566.75	0	5566.75
533.076	5486.75	0	5486.75
533.206	5672	0	5672
533.336	5633	0	5633
533.467	5475	0	5475
533.597	5609.25	0	5609.25
533.727	5520.25	0	5520.25
533.858	5416	0	5416
533.988	5555	0	5555
534.118	5520.5	0	5520.5
534.248	5530.5	0	5530.5
534.379	5547	0	5547
534.509	5449	0	5449
534.639	5477.5	0	5477.5
534.769	5328.25	0	5328.25
534.9	5305.75	0	5305.75
535.03	5213	0	5213
535.16	5272	0	5272
535.29	5279.25	0	5279.25
535.42	5168	0	5168
535.55	5448.25	0	5448.25
535.68	5236	0	5236
535.81	5219	0	5219
535.94	5324	0	5324
536.071	5458.5	0	5458.5
536.201	5744	0	5744
536.331	5938	0	5938
536.461	5980.5	0	5980.5
536.591	5862.5	0	5862.5
536.721	5769.75	0	5769.75
536.851	5940.5	0	5940.5
536.981	5938	0	5938
537.11	6123.25	0	6123.25
537.24	5986.75	0	5986.75
537.37	6201.25	0	6201.25
537.5	6014.75	0	6014.75
537.63	5728.5	0	5728.5
537.76	5644	0	5644
537.89	5584.25	0	5584.25
538.02	5554.5	0	5554.5
538.149	5484.25	0	5484.25
538.279	5400.75	0	5400.75
538.409	5351.5	0	5351.5
538.539	5376.5	0	5376.5
538.669	5236.75	0	5236.75
538.798	5363.5	0	5363.5
538.928	5284.25	0	5284.25
539.058	5326.75	0	5326.75
539.187	5493.75	0	5493.75
539.317	5792.75	0	5792.75
539.447	6116.25	0	6116.25
539.576	5926	0	5926
539.706	5561.75	0	5561.75
539.836	5583.25	0	5583.25
539.965	5776.25	0	5776.25
540.095	5989.5	0	5989.5
540.225	5882.5	0	5882.5
540.354	5370.25	0	5370.25
540.484	5318.5	0	5318.5
540.613	5329.5	0	5329.5
540.743	5350.25	0	5350.25
540.872	5523.75	0	5523.75
541.002	5494.5	0	5494.5
541.131	5690.25	0	5690.25
541.261	5900.75	0	5900.75
541.39	6183	0	6183
541.52	5856.75	0	5856.75
541.649	5622.75	0	5622.75
541.778	5617	0	5617
541.908	5432.75	0	5432.75
542.037	5439.5	0	5439.5
542.167	5366.25	0	5366.25
542.296	5348.25	0	5348.25
542.425	5268	0	5268
542.554	5366.75	0	5366.75
542.684	5449.75	0	5449.75
542.813	5810.5	0	5810.5
542.942	5718.5	0	5718.5
543.072	5886	0	5886
543.201	5754.75	0	5754.75
543.33	5859.75	0	5859.75
543.459	5714.75	0	5714.75
543.588	5450.75	0	5450.75
543.718	5451.5	0	5451.5
543.847	5330.75	0	5330.75
543.976	5414.75	0	5414.75
544.105	5507.75	0	5507.75
544.234	5373.25	0	5373.25
544.363	5303.25	0	5303.25
544.492	5212.75	0	5212.75
544.621	5075.75	0	5075.75
544.75	5069.75	0	5069.75
544.88	5316.5	0	5316.5
545.009	5740.5	0	5740.5
545.138	6804.25	0	6804.25
545.266	7971.25	0	7971.25
545.396	9323.25	0	9323.25
545.525	9206.25	0	9206.25
545.653	9327.25	0	9327.25
545.782	9176.5	0	9176.5
545.911	9105	0	9105
546.04	9018.5	0	9018.5
546.169	9154.5	0	9154.5
546.298	9289	0	9289
546.427	9283.75	0	9283.75
546.556	9231.5	0	9231.5
546.685	8676.75	0	8676.75
546.813	8645.75	0	8645.75
546.942	8427.5	0	8427.5
547.071	8487.25	0	8487.25
547.2	8267.25	0	8267.25
547.328	8471.75	0	8471.75
547.457	8621.25	0	8621.25
547.586	9023.25	0	9023.25
547.715	8935.5	0	8935.5
547.843	9080.5	0	9080.5
547.972	8651.25	0	8651.25
548.101	8399	0	8399
548.229	8613	0	8613
548.358	8502.75	0	8502.75
548.487	8599.75	0	8599.75
548.615	8932	0	8932
548.744	8365.5	0	8365.5
548.872	7882	0	7882
549.001	7847.75	0	7847.75
549.129	8013.75	0	8013.75
549.258	8560.5	0	8560.5
549.387	8832.75	0	8832.75
549.515	9004	0	9004
549.643	7938.75	0	7938.75
549.772	7550.75	0	7550.75
549.9	7751.25	0	7751.25
550.029	8064.25	0	8064.25
550.157	8543.5	0	8543.5
550.286	8932.75	0	8932.75
550.414	8868.75	0	8868.75
550.542	9064.5	0	9064.5
550.671	9261	0	9261
550.799	9414.75	0	9414.75
550.927	9324.25	0	9324.25
551.056	8840.25	0	8840.25
551.184	8849.25	0	8849.25
551.312	9039	0	9039
551.441	9764.75	0	9764.75
551.569	11213.5	0	11213.5
551.697	13137	0	13137
551.825	12775	0	12775
551.953	11987.5	0	11987.5
552.082	9320.25	0	9320.25
552.21	8501.75	0	8501.75
552.338	8266	0	8266
552.466	8168.5	0	8168.5
552.594	8034.75	0	8034.75
552.722	7866.5	0	7866.5
552.851	7956.25	0	7956.25
552.979	8025.5	0	8025.5
553.107	8043.25	0	8043.25
553.235	8129.25	0	8129.25
553.363	7977.75	0	7977.75
553.491	8001	0	8001
553.619	8060.75	0	8060.75
553.747	8377	0	8377
553.875	8174.5	0	8174.5
554.003	7933.25	0	7933.25
554.131	7753.5	0	7753.5
554.259	7750.25	0	7750.25
554.387	7684	0	7684
554.514	7531.75	0	7531.75
554.642	7483	0	7483
554.77	7388.75	0	7388.75
554.898	7499.5	0	7499.5
555.026	7421	0	7421
555.154	7415.25	0	7415.25
555.281	7573	0	7573
555.409	7431.75	0	7431.75
555.537	7485.25	0	7485.25
555.665	7543	0	7543
555.793	7440.5	0	7440.5
555.92	7343	0	7343
556.048	7323.75	0	7323.75
556.176	7344.5	0	7344.5
556.303	7400.5	0	7400.5
556.431	7542.25	0	7542.25
556.559	7598	0	7598
556.686	7794.25	0	7794.25
556.814	8079.25	0	8079.25
556.942	8434.25	0	8434.25
557.069	8323	0	8323
557.197	7688.5	0	7688.5
557.324	7629.5	0	7629.5
557.452	7539.5	0	7539.5
557.579	7705	0	7705
557.707	7759.5	0	7759.5
557.835	7931.75	0	7931.75
557.962	7826.25	0	7826.25
558.089	7680.25	0	7680.25
558.217	7585	0	7585
558.344	7575.75	0	7575.75
558.472	7334.75	0	7334.75
558.599	7444.5	0	7444.5
558.727	7362.5	0	7362.5
558.854	7372	0	7372
558.981	7230.75	0	7230.75
559.109	7174.25	0	7174.25
559.236	6965.25	0	6965.25
559.363	7104.25	0	7104.25
559.491	6964	0	6964
559.618	7038.75	0	7038.75
559.745	7087.5	0	7087.5
559.872	7533.5	0	7533.5
560	8490	0	8490
560.127	10254	0	10254
560.254	12539.2	0	12539.2
560.381	11508.2	0	11508.2
560.508	10290.8	0	10290.8
560.636	9788.5	0	9788.5
560.763	9918.5	0	9918.5
560.89	10480	0	10480
561.017	10687	0	10687
561.144	10590.2	0	10590.2
561.271	10338.2	0	10338.2
561.398	10175.2	0	10175.2
561.525	10019.5	0	10019.5
561.652	9924	0	9924
561.779	9896.5	0	9896.5
561.906	10119	0	10119
562.033	10064.5	0	10064.5
562.16	10237.2	0	10237.2
562.287	10022.5	0	10022.5
562.414	9893.25	0	9893.25
562.541	9810	0	9810
562.668	9753.25	0	9753.25
562.795	9577	0	9577
562.922	9303.25	0	9303.25
563.049	9447	0	9447
563.175	10182.5	0	10182.5
563.302	11158	0	11158
563.429	12207	0	12207
563.556	11327	0	11327
563.683	10541	0	10541
563.809	10032.2	0	10032.2
563.936	10202	0	10202
564.063	10715.5	0	10715.5
564.19	10651.5	0	10651.5
564.316	10709	0	10709
564.443	10690.5	0	10690.5
564.57	10891	0	10891
564.696	11324.2	0	11324.2
564.823	11648.2	0	11648.2
564.95	11200	0	11200
565.076	10433.2	0	10433.2
565.203	10088	0	10088
565.33	10161.5	0	10161.5
565.456	9708	0	9708
565.583	9332.5	0	9332.5
565.709	9377.5	0	9377.5
565.836	9189.5	0	9189.5
565.962	9169.25	0	9169.25
566.089	8942.5	0	8942.5
566.215	9039.75	0	9039.75
566.341	9088.25	0	9088.25
566.468	9871.75	0	9871.75
566.594	11272.5	0	11272.5
566.721	11544.8	0	11544.8
566.847	10355.2	0	10355.2
566.974	9982	0	9982
567.1	9737.75	0	9737.75
567.226	9904.75	0	9904.75
567.353	10098.2	0	10098.2
567.479	10016.5	0	10016.5
567.605	10028	0	10028
567.732	10040.8	0	10040.8
567.858	9955.75	0	9955.75
567.984	10259.5	0	10259.5
568.11	9725.25	0	9725.25
568.236	9439.5	0	9439.5
568.363	9279.25	0	9279.25
568.489	9167.75	0	9167.75
568.615	8761.25	0	8761.25
568.741	8649	0	8649
568.867	8460.75	0	8460.75
568.993	8534.5	0	8534.5
569.12	8533.75	0	8533.75
