Lambda	Spectrum	Dark	SpecMinusDark
500.031	417.25	0	417.25
500.165	413	0	413
500.299	485.25	0	485.25
500.433	606.5	0	606.5
500.567	712.25	0	712.25
500.701	676.5	0	676.5
500.835	536.5	0	536.5
500.968	497.5	0	497.5
501.102	474.25	0	474.25
501.236	466.5	0	466.5
501.37	488.75	0	488.75
501.504	526.25	0	526.25
501.637	699.75	0	699.75
501.771	880	0	880
501.905	1028.25	0	1028.25
502.039	722.75	0	722.75
502.172	627	0	627
502.306	639.25	0	639.25
502.44	599	0	599
502.573	536.5	0	536.5
502.707	534.25	0	534.25
502.841	518	0	518
502.974	517	0	517
503.108	532.5	0	532.5
503.242	520.25	0	520.25
503.375	523	0	523
503.509	526.5	0	526.5
503.642	549	0	549
503.776	531.75	0	531.75
503.909	516	0	516
504.043	547	0	547
504.176	563.75	0	563.75
504.31	554.5	0	554.5
504.443	568.75	0	568.75
504.577	563.5	0	563.5
504.71	601	0	601
504.844	602.75	0	602.75
504.977	632.75	0	632.75
505.111	662.75	0	662.75
505.244	679.75	0	679.75
505.377	697	0	697
505.511	734.25	0	734.25
505.644	785.75	0	785.75
505.777	710.75	0	710.75
505.911	673.25	0	673.25
506.044	678	0	678
506.177	685.5	0	685.5
506.311	723.75	0	723.75
506.444	762.75	0	762.75
506.577	848.5	0	848.5
506.71	922	0	922
506.844	1005.25	0	1005.25
506.977	876.75	0	876.75
507.11	681.75	0	681.75
507.243	679.25	0	679.25
507.376	685	0	685
507.51	678.5	0	678.5
507.643	651.25	0	651.25
507.776	657.75	0	657.75
507.909	662.5	0	662.5
508.042	668	0	668
508.175	635.75	0	635.75
508.308	642	0	642
508.441	641.25	0	641.25
508.574	614.75	0	614.75
508.707	613	0	613
508.84	618.75	0	618.75
508.973	627	0	627
509.106	625.5	0	625.5
509.239	636.25	0	636.25
509.372	650	0	650
509.505	644.75	0	644.75
509.638	672	0	672
509.771	651.25	0	651.25
509.904	650.5	0	650.5
510.037	650	0	650
510.17	647.75	0	647.75
510.303	658	0	658
510.436	626.5	0	626.5
510.568	669.75	0	669.75
510.701	741	0	741
510.834	849.75	0	849.75
510.967	989.5	0	989.5
511.1	820.75	0	820.75
511.232	667.25	0	667.25
511.365	684.5	0	684.5
511.498	678.75	0	678.75
511.631	698.75	0	698.75
511.763	659.25	0	659.25
511.896	677	0	677
512.029	682.25	0	682.25
512.161	659.25	0	659.25
512.294	686.75	0	686.75
512.427	677.5	0	677.5
512.559	689.5	0	689.5
512.692	713.5	0	713.5
512.825	712.5	0	712.5
512.957	805.75	0	805.75
513.09	984.25	0	984.25
513.222	1257.25	0	1257.25
513.355	1579.25	0	1579.25
513.487	1150.75	0	1150.75
513.62	871.75	0	871.75
513.752	818.5	0	818.5
513.885	824.5	0	824.5
514.017	998	0	998
514.15	1231.25	0	1231.25
514.282	1644.75	0	1644.75
514.415	1717.75	0	1717.75
514.547	1110.25	0	1110.25
514.68	926	0	926
514.812	856	0	856
514.944	852.25	0	852.25
515.077	922.75	0	922.75
515.209	1092	0	1092
515.341	1321	0	1321
515.474	1098	0	1098
515.606	918.5	0	918.5
515.738	838.75	0	838.75
515.871	829.5	0	829.5
516.003	835	0	835
516.135	893	0	893
516.267	988.25	0	988.25
516.4	1049.25	0	1049.25
516.532	957.25	0	957.25
516.664	829	0	829
516.796	809.5	0	809.5
516.928	869	0	869
517.06	876	0	876
517.193	868.5	0	868.5
517.325	863	0	863
517.457	969.75	0	969.75
517.589	974	0	974
517.721	991	0	991
517.853	1030.75	0	1030.75
517.985	1245	0	1245
518.117	1538.75	0	1538.75
518.249	1436.5	0	1436.5
518.381	1127	0	1127
518.513	993.25	0	993.25
518.645	902	0	902
518.777	859.25	0	859.25
518.909	800.25	0	800.25
519.041	788	0	788
519.173	811	0	811
519.305	901.5	0	901.5
519.437	1109.5	0	1109.5
519.569	1577.5	0	1577.5
519.701	2303	0	2303
519.832	2923.5	0	2923.5
519.964	2860.75	0	2860.75
520.096	2193.75	0	2193.75
520.228	1432.75	0	1432.75
520.36	1170	0	1170
520.491	1040.25	0	1040.25
520.623	938.75	0	938.75
520.755	894.75	0	894.75
520.887	883.75	0	883.75
521.018	924	0	924
521.15	998.5	0	998.5
521.282	974.75	0	974.75
521.414	858.25	0	858.25
521.545	866.25	0	866.25
521.677	959.5	0	959.5
521.808	980.75	0	980.75
521.94	966.75	0	966.75
522.072	948.5	0	948.5
522.203	1006	0	1006
522.335	832.25	0	832.25
522.466	772.25	0	772.25
522.598	799.25	0	799.25
522.729	839.75	0	839.75
522.861	913.5	0	913.5
522.993	1054	0	1054
523.124	1110.5	0	1110.5
523.256	1010	0	1010
523.387	1015.25	0	1015.25
523.518	1136.75	0	1136.75
523.65	1439	0	1439
523.781	1864.25	0	1864.25
523.913	2238	0	2238
524.044	1371.5	0	1371.5
524.176	1221.75	0	1221.75
524.307	1466.5	0	1466.5
524.438	1824	0	1824
524.57	2328.5	0	2328.5
524.701	1477.25	0	1477.25
524.832	1000.25	0	1000.25
524.964	909.75	0	909.75
525.095	835	0	835
525.226	842.25	0	842.25
525.357	828	0	828
525.489	797.5	0	797.5
525.62	809.25	0	809.25
525.751	801	0	801
525.882	803.5	0	803.5
526.013	807.5	0	807.5
526.145	824.25	0	824.25
526.276	879.5	0	879.5
526.407	861.5	0	861.5
526.538	923.75	0	923.75
526.669	899.75	0	899.75
526.8	865	0	865
526.931	889.25	0	889.25
527.062	886.25	0	886.25
527.193	856.25	0	856.25
527.324	802.25	0	802.25
527.455	780.5	0	780.5
527.586	865	0	865
527.717	873.5	0	873.5
527.848	848.5	0	848.5
527.979	828.5	0	828.5
528.11	860.75	0	860.75
528.241	789	0	789
528.372	820.25	0	820.25
528.503	826.75	0	826.75
528.634	848.75	0	848.75
528.765	848.75	0	848.75
528.896	797	0	797
529.026	802.5	0	802.5
529.157	861.75	0	861.75
529.288	896.75	0	896.75
529.419	894.25	0	894.25
529.55	890.5	0	890.5
529.681	812.25	0	812.25
529.811	811.25	0	811.25
529.942	791.25	0	791.25
530.073	743.5	0	743.5
530.203	737.75	0	737.75
530.334	683	0	683
530.465	743.5	0	743.5
530.596	735	0	735
530.726	739.75	0	739.75
530.857	761.25	0	761.25
530.987	720.5	0	720.5
531.118	704.25	0	704.25
531.249	695	0	695
531.379	685.75	0	685.75
531.51	715	0	715
531.64	703.25	0	703.25
531.771	724	0	724
531.901	710.5	0	710.5
532.032	766.75	0	766.75
532.163	742	0	742
532.293	720	0	720
532.423	685.5	0	685.5
532.554	654.25	0	654.25
532.684	699.75	0	699.75
532.815	707	0	707
532.945	700	0	700
533.076	738.25	0	738.25
533.206	785.5	0	785.5
533.336	866.75	0	866.75
533.467	861	0	861
533.597	770	0	770
533.727	771	0	771
533.858	750.25	0	750.25
533.988	736.25	0	736.25
534.118	688.5	0	688.5
534.248	689.5	0	689.5
534.379	699.5	0	699.5
534.509	657.5	0	657.5
534.639	636	0	636
534.769	686.25	0	686.25
534.9	679.25	0	679.25
535.03	686.75	0	686.75
535.16	665.25	0	665.25
535.29	672.5	0	672.5
535.42	738.5	0	738.5
535.55	887	0	887
535.68	1022.25	0	1022.25
535.81	1249.5	0	1249.5
535.94	886.25	0	886.25
536.071	718.25	0	718.25
536.201	691	0	691
536.331	683.5	0	683.5
536.461	665.25	0	665.25
536.591	665	0	665
536.721	648.5	0	648.5
536.851	643.5	0	643.5
536.981	643.25	0	643.25
537.11	604	0	604
537.24	629	0	629
537.37	632.75	0	632.75
537.5	617.25	0	617.25
537.63	631	0	631
537.76	642	0	642
537.89	675	0	675
538.02	605.75	0	605.75
538.149	615	0	615
538.279	617.5	0	617.5
538.409	638.5	0	638.5
538.539	725	0	725
538.669	801.75	0	801.75
538.798	919.5	0	919.5
538.928	1035.75	0	1035.75
539.058	955.25	0	955.25
539.187	860	0	860
539.317	833.75	0	833.75
539.447	778.75	0	778.75
539.576	743.75	0	743.75
539.706	699	0	699
539.836	693.5	0	693.5
539.965	678.25	0	678.25
540.095	688.25	0	688.25
540.225	748.25	0	748.25
540.354	874.5	0	874.5
540.484	1075.75	0	1075.75
540.613	1394	0	1394
540.743	1251.5	0	1251.5
540.872	745	0	745
541.002	654.75	0	654.75
541.131	620.25	0	620.25
541.261	630.5	0	630.5
541.39	641.75	0	641.75
541.52	706.5	0	706.5
541.649	777.75	0	777.75
541.778	1064	0	1064
541.908	1466.25	0	1466.25
542.037	1684.25	0	1684.25
542.167	1038.75	0	1038.75
542.296	955.25	0	955.25
542.425	790	0	790
542.554	786	0	786
542.684	840.5	0	840.5
542.813	974.25	0	974.25
542.942	941.5	0	941.5
543.072	656	0	656
543.201	640	0	640
543.33	662.25	0	662.25
543.459	697.5	0	697.5
543.588	735.75	0	735.75
543.718	805	0	805
543.847	950	0	950
543.976	868	0	868
544.105	731.25	0	731.25
544.234	733.75	0	733.75
544.363	683	0	683
544.492	634.5	0	634.5
544.621	621	0	621
544.75	644	0	644
544.88	647.25	0	647.25
545.009	633	0	633
545.138	597.75	0	597.75
545.266	618.5	0	618.5
545.396	599	0	599
545.525	609	0	609
545.653	597.5	0	597.5
545.782	590.25	0	590.25
545.911	648.25	0	648.25
546.04	683.5	0	683.5
546.169	701	0	701
546.298	746.25	0	746.25
546.427	666	0	666
546.556	611.5	0	611.5
546.685	621.25	0	621.25
546.813	612	0	612
546.942	617.5	0	617.5
547.071	637	0	637
547.2	666.75	0	666.75
547.328	727	0	727
547.457	790	0	790
547.586	851.75	0	851.75
547.715	828	0	828
547.843	759.75	0	759.75
547.972	761	0	761
548.101	711	0	711
548.229	706.75	0	706.75
548.358	676	0	676
548.487	689.75	0	689.75
548.615	695.5	0	695.5
548.744	681.5	0	681.5
548.872	782.75	0	782.75
549.001	1000.5	0	1000.5
549.129	1246.75	0	1246.75
549.258	1624.25	0	1624.25
549.387	1102.25	0	1102.25
549.515	880.75	0	880.75
549.643	744.75	0	744.75
549.772	697.75	0	697.75
549.9	713.5	0	713.5
550.029	713	0	713
550.157	750.25	0	750.25
550.286	691.75	0	691.75
550.414	669.75	0	669.75
550.542	682.75	0	682.75
550.671	748	0	748
550.799	782	0	782
550.927	1032.75	0	1032.75
551.056	1164.75	0	1164.75
551.184	1318.75	0	1318.75
551.312	1247	0	1247
551.441	811.5	0	811.5
551.569	834.25	0	834.25
551.697	744.75	0	744.75
551.825	710.75	0	710.75
551.953	705.5	0	705.5
552.082	667.25	0	667.25
552.21	673	0	673
552.338	696.75	0	696.75
552.466	666.25	0	666.25
552.594	673.25	0	673.25
552.722	659.5	0	659.5
552.851	678	0	678
552.979	671.25	0	671.25
553.107	688.5	0	688.5
553.235	699	0	699
553.363	702.25	0	702.25
553.491	701	0	701
553.619	738	0	738
553.747	747.75	0	747.75
553.875	767	0	767
554.003	747	0	747
554.131	686	0	686
554.259	702.5	0	702.5
554.387	690.25	0	690.25
554.514	683	0	683
554.642	725.5	0	725.5
554.77	758	0	758
554.898	880.25	0	880.25
555.026	1094	0	1094
555.154	1190.5	0	1190.5
555.281	1008.75	0	1008.75
555.409	816.5	0	816.5
555.537	749.5	0	749.5
555.665	724.5	0	724.5
555.793	726.75	0	726.75
555.92	710.75	0	710.75
556.048	764.75	0	764.75
556.176	834.75	0	834.75
556.303	959.25	0	959.25
556.431	943.75	0	943.75
556.559	941.25	0	941.25
556.686	920.75	0	920.75
556.814	783.75	0	783.75
556.942	745	0	745
557.069	750.25	0	750.25
557.197	744.5	0	744.5
557.324	730.75	0	730.75
557.452	732.75	0	732.75
557.579	743.5	0	743.5
557.707	726.5	0	726.5
557.835	750.25	0	750.25
557.962	746.25	0	746.25
558.089	776.25	0	776.25
558.217	767.25	0	767.25
558.344	785.75	0	785.75
558.472	799.5	0	799.5
558.599	874.5	0	874.5
558.727	1105.5	0	1105.5
558.854	1378.5	0	1378.5
558.981	1455.75	0	1455.75
559.109	1053.25	0	1053.25
559.236	866.75	0	866.75
559.363	855.25	0	855.25
559.491	961.25	0	961.25
559.618	1162.75	0	1162.75
559.745	1315.5	0	1315.5
559.872	886.25	0	886.25
560	766.5	0	766.5
560.127	764	0	764
560.254	743.25	0	743.25
560.381	820.75	0	820.75
560.508	884.5	0	884.5
560.636	1018.25	0	1018.25
560.763	1101	0	1101
560.89	1311	0	1311
561.017	1245.75	0	1245.75
561.144	823.25	0	823.25
561.271	752	0	752
561.398	744	0	744
561.525	717.5	0	717.5
561.652	690.75	0	690.75
561.779	691.5	0	691.5
561.906	731	0	731
562.033	746.5	0	746.5
562.16	807.25	0	807.25
562.287	808.75	0	808.75
562.414	860.75	0	860.75
562.541	968	0	968
562.668	1374.75	0	1374.75
562.795	1991.5	0	1991.5
562.922	3112.25	0	3112.25
563.049	3002.75	0	3002.75
563.175	2749.5	0	2749.5
563.302	2343.25	0	2343.25
563.429	1133.75	0	1133.75
563.556	896	0	896
563.683	903.25	0	903.25
563.809	920.25	0	920.25
563.936	887.5	0	887.5
564.063	851.75	0	851.75
564.19	815	0	815
564.316	827	0	827
564.443	863	0	863
564.57	897.25	0	897.25
564.696	940.25	0	940.25
564.823	1043.5	0	1043.5
564.95	1156	0	1156
565.076	1342	0	1342
565.203	1033.5	0	1033.5
565.33	860.5	0	860.5
565.456	878.75	0	878.75
565.583	921.5	0	921.5
565.709	907.5	0	907.5
565.836	928.75	0	928.75
565.962	1071.75	0	1071.75
566.089	1375.75	0	1375.75
566.215	1635.75	0	1635.75
566.341	1112.25	0	1112.25
566.468	899.75	0	899.75
566.594	870.25	0	870.25
566.721	848.25	0	848.25
566.847	840.25	0	840.25
566.974	932.5	0	932.5
567.1	1127.25	0	1127.25
567.226	1549	0	1549
567.353	2095.5	0	2095.5
567.479	2194.5	0	2194.5
567.605	2153.25	0	2153.25
567.732	1089.5	0	1089.5
567.858	894.5	0	894.5
567.984	817.75	0	817.75
568.11	794.25	0	794.25
568.236	806	0	806
568.363	799.75	0	799.75
568.489	832.75	0	832.75
568.615	888.75	0	888.75
568.741	989.5	0	989.5
568.867	957.5	0	957.5
568.993	872.75	0	872.75
569.12	892.25	0	892.25
569.246	924.75	0	924.75
569.372	888.25	0	888.25
569.498	903.75	0	903.75
569.624	910.25	0	910.25
569.75	934	0	934
569.876	1058.75	0	1058.75
570.002	1343.5	0	1343.5
570.128	2085.75	0	2085.75
570.254	2888	0	2888
570.38	2932.5	0	2932.5
570.506	1781.75	0	1781.75
570.632	2014.75	0	2014.75
570.758	2863.25	0	2863.25
570.883	3108	0	3108
571.009	2398.25	0	2398.25
571.135	2663.75	0	2663.75
571.261	2140.25	0	2140.25
571.387	1265	0	1265
571.513	978.5	0	978.5
571.638	930.5	0	930.5
571.764	895.75	0	895.75
571.89	927	0	927
572.016	976.5	0	976.5
572.141	955.25	0	955.25
572.267	916.25	0	916.25
572.393	903.25	0	903.25
572.518	962.5	0	962.5
572.644	1053.75	0	1053.75
572.77	1235	0	1235
572.895	1965	0	1965
573.021	3187	0	3187
573.147	4118.75	0	4118.75
573.272	3257.75	0	3257.75
573.398	1991	0	1991
573.523	2057	0	2057
573.649	2110	0	2110
573.774	1709.25	0	1709.25
573.9	1717.25	0	1717.25
574.025	1657.5	0	1657.5
574.151	1947.5	0	1947.5
574.276	1602.5	0	1602.5
574.402	1136	0	1136
574.527	1173	0	1173
574.652	1337.25	0	1337.25
574.778	1546.75	0	1546.75
574.903	1407.25	0	1407.25
575.029	1165.5	0	1165.5
575.154	1343	0	1343
575.279	1568	0	1568
575.405	1424.25	0	1424.25
575.53	1171.5	0	1171.5
575.655	1082.25	0	1082.25
575.78	1078	0	1078
575.906	982	0	982
576.031	980	0	980
576.156	917.75	0	917.75
576.281	929	0	929
