Lambda	Spectrum	Dark	SpecMinusDark
500.031	16232.5	0	16232.5
500.165	16383.8	0	16383.8
500.299	16383.8	0	16383.8
500.433	16383.8	0	16383.8
500.567	16383.8	0	16383.8
500.701	16383.8	0	16383.8
500.835	16383.8	0	16383.8
500.968	16383.8	0	16383.8
501.102	16383.8	0	16383.8
501.236	16383.8	0	16383.8
501.37	16383.8	0	16383.8
501.504	16383.8	0	16383.8
501.637	16383.8	0	16383.8
501.771	16383.8	0	16383.8
501.905	16198.5	0	16198.5
502.039	15770.5	0	15770.5
502.172	15102.8	0	15102.8
502.306	14974.2	0	14974.2
502.44	14525.2	0	14525.2
502.573	14448.8	0	14448.8
502.707	14281.2	0	14281.2
502.841	14134.8	0	14134.8
502.974	13882	0	13882
503.108	13804	0	13804
503.242	13665.2	0	13665.2
503.375	13495	0	13495
503.509	13347.2	0	13347.2
503.642	13399.5	0	13399.5
503.776	13295.5	0	13295.5
503.909	13215	0	13215
504.043	13580.5	0	13580.5
504.176	13546.5	0	13546.5
504.31	13790.8	0	13790.8
504.443	14128.8	0	14128.8
504.577	14438	0	14438
504.71	14723.2	0	14723.2
504.844	15098.8	0	15098.8
504.977	14986.8	0	14986.8
505.111	14792.8	0	14792.8
505.244	14224	0	14224
505.377	14169	0	14169
505.511	14408.8	0	14408.8
505.644	14690.8	0	14690.8
505.777	15432.2	0	15432.2
505.911	14420	0	14420
506.044	13910.5	0	13910.5
506.177	13491.2	0	13491.2
506.311	13618.8	0	13618.8
506.444	13367.5	0	13367.5
506.577	13320	0	13320
506.71	13318.2	0	13318.2
506.844	13056.5	0	13056.5
506.977	13081.8	0	13081.8
507.11	13167.8	0	13167.8
507.243	13390	0	13390
507.376	14030.5	0	14030.5
507.51	13699.2	0	13699.2
507.643	14028.2	0	14028.2
507.776	13381.8	0	13381.8
507.909	13310	0	13310
508.042	13118.2	0	13118.2
508.175	13067	0	13067
508.308	12964	0	12964
508.441	13144.8	0	13144.8
508.574	12943	0	12943
508.707	13001.5	0	13001.5
508.84	13041	0	13041
508.973	12907.5	0	12907.5
509.106	12960.8	0	12960.8
509.239	13048	0	13048
509.372	13001.8	0	13001.8
509.505	13085.5	0	13085.5
509.638	12988.2	0	12988.2
509.771	12857.8	0	12857.8
509.904	12856	0	12856
510.037	13027.2	0	13027.2
510.17	13034.2	0	13034.2
510.303	13085.5	0	13085.5
510.436	13025.2	0	13025.2
510.568	13094.5	0	13094.5
510.701	13156.5	0	13156.5
510.834	13414.5	0	13414.5
510.967	13396.8	0	13396.8
511.1	13217	0	13217
511.232	13163.8	0	13163.8
511.365	13113.2	0	13113.2
511.498	13104.8	0	13104.8
511.631	13224.2	0	13224.2
511.763	13176	0	13176
511.896	13383.2	0	13383.2
512.029	13176.5	0	13176.5
512.161	13152.8	0	13152.8
512.294	13115.5	0	13115.5
512.427	13270.5	0	13270.5
512.559	13120.5	0	13120.5
512.692	13312.8	0	13312.8
512.825	13302.2	0	13302.2
512.957	13245.8	0	13245.8
513.09	13379.2	0	13379.2
513.222	13445.2	0	13445.2
513.355	13598.8	0	13598.8
513.487	13495	0	13495
513.62	13491.8	0	13491.8
513.752	13607	0	13607
513.885	13547.5	0	13547.5
514.017	13767.2	0	13767.2
514.15	13690.5	0	13690.5
514.282	13930.2	0	13930.2
514.415	13751	0	13751
514.547	13852.2	0	13852.2
