Lambda	Spectrum	Dark	SpecMinusDark
500.031	4669	0	4669
500.165	4955.5	0	4955.5
500.299	5371	0	5371
500.433	5816.75	0	5816.75
500.567	6083	0	6083
500.701	6195.5	0	6195.5
500.835	6173.75	0	6173.75
500.968	6128.5	0	6128.5
501.102	5840.25	0	5840.25
501.236	5597.5	0	5597.5
501.37	5446.25	0	5446.25
501.504	5230.75	0	5230.75
501.637	5040.75	0	5040.75
501.771	4842.5	0	4842.5
501.905	4633.75	0	4633.75
502.039	4596.5	0	4596.5
502.172	4428.75	0	4428.75
502.306	4411.75	0	4411.75
502.44	4407.25	0	4407.25
502.573	4335.25	0	4335.25
502.707	4302.25	0	4302.25
502.841	4313.75	0	4313.75
502.974	4285.75	0	4285.75
503.108	4274.5	0	4274.5
503.242	4182.5	0	4182.5
503.375	4243	0	4243
503.509	4197.25	0	4197.25
503.642	4266.25	0	4266.25
503.776	4200.75	0	4200.75
503.909	4269.25	0	4269.25
504.043	4281	0	4281
504.176	4295.5	0	4295.5
504.31	4396	0	4396
504.443	4442.25	0	4442.25
504.577	4554.5	0	4554.5
504.71	4639	0	4639
504.844	4723.75	0	4723.75
504.977	4690.5	0	4690.5
505.111	4567.5	0	4567.5
505.244	4546.75	0	4546.75
505.377	4555	0	4555
505.511	4476.25	0	4476.25
505.644	4538.25	0	4538.25
505.777	4524.25	0	4524.25
505.911	4506.25	0	4506.25
506.044	4584	0	4584
506.177	4535.5	0	4535.5
506.311	4495	0	4495
506.444	4524	0	4524
506.577	4479	0	4479
506.71	4479	0	4479
506.844	4421.75	0	4421.75
506.977	4444.5	0	4444.5
507.11	4445.5	0	4445.5
507.243	4508.5	0	4508.5
507.376	4503.5	0	4503.5
507.51	4406.75	0	4406.75
507.643	4493.75	0	4493.75
507.776	4387.25	0	4387.25
507.909	4450.75	0	4450.75
508.042	4403.25	0	4403.25
508.175	4402.75	0	4402.75
508.308	4395.25	0	4395.25
508.441	4289	0	4289
508.574	4333.25	0	4333.25
508.707	4327.5	0	4327.5
508.84	4289.75	0	4289.75
508.973	4284.5	0	4284.5
509.106	4250	0	4250
509.239	4224.5	0	4224.5
509.372	4308.75	0	4308.75
509.505	4311.25	0	4311.25
509.638	4250.75	0	4250.75
509.771	4214	0	4214
509.904	4191.25	0	4191.25
510.037	4190.25	0	4190.25
510.17	4167.5	0	4167.5
510.303	4193.75	0	4193.75
510.436	4213.5	0	4213.5
510.568	4173.5	0	4173.5
510.701	4172	0	4172
510.834	4205.75	0	4205.75
510.967	4156.25	0	4156.25
511.1	4225.25	0	4225.25
511.232	4071.25	0	4071.25
511.365	4225.5	0	4225.5
511.498	4216.25	0	4216.25
511.631	4196	0	4196
511.763	4194	0	4194
511.896	4192	0	4192
512.029	4169.25	0	4169.25
512.161	4232.5	0	4232.5
512.294	4153.5	0	4153.5
512.427	4200.5	0	4200.5
512.559	4146.5	0	4146.5
512.692	4086	0	4086
512.825	4164.75	0	4164.75
512.957	4196.25	0	4196.25
513.09	4141.25	0	4141.25
513.222	4220.25	0	4220.25
513.355	4182	0	4182
513.487	4197.75	0	4197.75
513.62	4135	0	4135
513.752	4195.5	0	4195.5
513.885	4181	0	4181
514.017	4217.5	0	4217.5
514.15	4113.25	0	4113.25
514.282	4217	0	4217
514.415	4163.75	0	4163.75
514.547	4246.5	0	4246.5
514.68	4155.25	0	4155.25
514.812	4218.5	0	4218.5
514.944	4267.5	0	4267.5
515.077	4177.25	0	4177.25
515.209	4270.25	0	4270.25
515.341	4252	0	4252
515.474	4259.75	0	4259.75
515.606	4291.25	0	4291.25
515.738	4336.5	0	4336.5
515.871	4347	0	4347
516.003	4328.5	0	4328.5
516.135	4369.25	0	4369.25
516.267	4367.5	0	4367.5
516.4	4392.25	0	4392.25
516.532	4460.5	0	4460.5
516.664	4524.25	0	4524.25
516.796	4549	0	4549
516.928	4578.25	0	4578.25
517.06	4745	0	4745
517.193	4749.75	0	4749.75
517.325	4866.5	0	4866.5
517.457	5044	0	5044
517.589	5113.5	0	5113.5
517.721	5160.5	0	5160.5
517.853	5262.75	0	5262.75
517.985	5255.75	0	5255.75
518.117	5341	0	5341
518.249	5309.25	0	5309.25
518.381	5274.25	0	5274.25
518.513	5210.75	0	5210.75
518.645	5164.25	0	5164.25
518.777	4966	0	4966
518.909	4835	0	4835
519.041	4800	0	4800
519.173	4687.25	0	4687.25
519.305	4585	0	4585
519.437	4606	0	4606
519.569	4521	0	4521
519.701	4463.5	0	4463.5
519.832	4404	0	4404
519.964	4325.5	0	4325.5
520.096	4349	0	4349
520.228	4314	0	4314
520.36	4321.75	0	4321.75
520.491	4249.5	0	4249.5
520.623	4256.75	0	4256.75
520.755	4288	0	4288
520.887	4218.5	0	4218.5
521.018	4176.25	0	4176.25
521.15	4163.25	0	4163.25
521.282	4155.25	0	4155.25
521.414	4228	0	4228
521.545	4088.75	0	4088.75
521.677	4145.5	0	4145.5
521.808	4206	0	4206
521.94	4100.5	0	4100.5
522.072	4067.5	0	4067.5
522.203	4140.75	0	4140.75
522.335	4023.75	0	4023.75
522.466	4085.5	0	4085.5
522.598	4050.25	0	4050.25
522.729	4042.75	0	4042.75
522.861	4098.25	0	4098.25
522.993	4037.25	0	4037.25
523.124	4046.75	0	4046.75
523.256	4026.5	0	4026.5
523.387	4061.25	0	4061.25
523.518	4039	0	4039
523.65	3996	0	3996
523.781	4055.75	0	4055.75
523.913	4047.25	0	4047.25
524.044	4062.5	0	4062.5
524.176	4030	0	4030
524.307	4005.5	0	4005.5
524.438	3992.25	0	3992.25
524.57	4026	0	4026
524.701	4009.75	0	4009.75
524.832	3955.5	0	3955.5
524.964	3913.75	0	3913.75
525.095	3917	0	3917
525.226	4003.5	0	4003.5
525.357	3900.75	0	3900.75
525.489	3901.25	0	3901.25
525.62	3851.75	0	3851.75
525.751	3914	0	3914
525.882	3896.75	0	3896.75
526.013	3852.75	0	3852.75
526.145	3833	0	3833
526.276	3797.75	0	3797.75
526.407	3722	0	3722
526.538	3774.25	0	3774.25
526.669	3744.25	0	3744.25
526.8	3777.5	0	3777.5
526.931	3709.25	0	3709.25
527.062	3771	0	3771
527.193	3757	0	3757
527.324	3740	0	3740
527.455	3720.75	0	3720.75
527.586	3739.5	0	3739.5
527.717	3599	0	3599
527.848	3709	0	3709
527.979	3613	0	3613
528.11	3648.75	0	3648.75
528.241	3694.75	0	3694.75
528.372	3646.5	0	3646.5
528.503	3592.5	0	3592.5
528.634	3667	0	3667
528.765	3616.25	0	3616.25
528.896	3581.75	0	3581.75
529.026	3622.75	0	3622.75
529.157	3549.75	0	3549.75
529.288	3551	0	3551
529.419	3578.5	0	3578.5
529.55	3570.25	0	3570.25
529.681	3561.25	0	3561.25
529.811	3570.75	0	3570.75
529.942	3567.5	0	3567.5
530.073	3570.25	0	3570.25
530.203	3526.5	0	3526.5
530.334	3559	0	3559
530.465	3576.25	0	3576.25
530.596	3517.75	0	3517.75
530.726	3518	0	3518
530.857	3501.25	0	3501.25
530.987	3595	0	3595
531.118	3524	0	3524
531.249	3473.25	0	3473.25
531.379	3514.5	0	3514.5
531.51	3534	0	3534
531.64	3602	0	3602
531.771	3541.5	0	3541.5
531.901	3501	0	3501
532.032	3543.25	0	3543.25
532.163	3532	0	3532
532.293	3602.5	0	3602.5
532.423	3524.25	0	3524.25
532.554	3547.5	0	3547.5
532.684	3559.5	0	3559.5
532.815	3527	0	3527
532.945	3540.75	0	3540.75
533.076	3520.5	0	3520.5
533.206	3590.25	0	3590.25
533.336	3456.75	0	3456.75
533.467	3516.5	0	3516.5
533.597	3557.75	0	3557.75
533.727	3468.75	0	3468.75
533.858	3503	0	3503
533.988	3512.75	0	3512.75
534.118	3508.75	0	3508.75
534.248	3481.25	0	3481.25
534.379	3477.75	0	3477.75
534.509	3404.5	0	3404.5
534.639	3414.75	0	3414.75
534.769	3407.75	0	3407.75
534.9	3385.5	0	3385.5
535.03	3386.25	0	3386.25
535.16	3386.25	0	3386.25
535.29	3374.75	0	3374.75
535.42	3320.25	0	3320.25
535.55	3328.75	0	3328.75
535.68	3326.5	0	3326.5
535.81	3371.5	0	3371.5
535.94	3230.75	0	3230.75
536.071	3275.5	0	3275.5
536.201	3334.75	0	3334.75
536.331	3294.75	0	3294.75
536.461	3248.25	0	3248.25
536.591	3305.75	0	3305.75
536.721	3223.25	0	3223.25
536.851	3265.75	0	3265.75
536.981	3250.75	0	3250.75
537.11	3209.5	0	3209.5
537.24	3201.75	0	3201.75
537.37	3179.5	0	3179.5
537.5	3262.25	0	3262.25
537.63	3226.75	0	3226.75
537.76	3248.75	0	3248.75
537.89	3245.25	0	3245.25
538.02	3267.25	0	3267.25
538.149	3222.5	0	3222.5
538.279	3218.75	0	3218.75
538.409	3225.25	0	3225.25
538.539	3190.5	0	3190.5
538.669	3178	0	3178
538.798	3173.75	0	3173.75
538.928	3214.75	0	3214.75
539.058	3200.5	0	3200.5
539.187	3190.75	0	3190.75
539.317	3171	0	3171
539.447	3100.75	0	3100.75
539.576	3154.25	0	3154.25
539.706	3209.25	0	3209.25
539.836	3219.75	0	3219.75
539.965	3208	0	3208
540.095	3255.75	0	3255.75
540.225	3151.5	0	3151.5
540.354	3116	0	3116
540.484	3144.75	0	3144.75
540.613	3157.5	0	3157.5
540.743	3076.75	0	3076.75
540.872	3145.25	0	3145.25
541.002	3114.5	0	3114.5
541.131	3082.25	0	3082.25
541.261	3199.75	0	3199.75
541.39	3132.75	0	3132.75
541.52	3168	0	3168
541.649	3150.25	0	3150.25
541.778	3149.5	0	3149.5
541.908	3122.25	0	3122.25
542.037	3149.75	0	3149.75
542.167	3152	0	3152
542.296	3104.5	0	3104.5
542.425	3143.25	0	3143.25
542.554	3111.5	0	3111.5
542.684	3138.75	0	3138.75
542.813	3119.5	0	3119.5
542.942	3161.25	0	3161.25
543.072	3082.5	0	3082.5
543.201	3077.75	0	3077.75
543.33	3148.75	0	3148.75
543.459	3087.75	0	3087.75
543.588	3083	0	3083
543.718	3098.25	0	3098.25
543.847	3099.75	0	3099.75
543.976	3082.25	0	3082.25
544.105	3120.25	0	3120.25
544.234	3107.5	0	3107.5
544.363	3165.5	0	3165.5
544.492	3118.25	0	3118.25
544.621	3083.5	0	3083.5
544.75	3114.5	0	3114.5
544.88	3106.25	0	3106.25
545.009	3096.25	0	3096.25
545.138	3167	0	3167
545.266	3139.25	0	3139.25
545.396	3129.25	0	3129.25
545.525	3179.5	0	3179.5
545.653	3133	0	3133
545.782	3170	0	3170
545.911	3212.5	0	3212.5
546.04	3226.5	0	3226.5
546.169	3203.25	0	3203.25
546.298	3205.5	0	3205.5
546.427	3168	0	3168
