Lambda	Spectrum	Dark	SpecMinusDark
500.031	8251.75	0	8251.75
500.165	8843	0	8843
500.299	10026	0	10026
500.433	10955.2	0	10955.2
500.567	11390	0	11390
500.701	11592.8	0	11592.8
500.835	11664.5	0	11664.5
500.968	11269.5	0	11269.5
501.102	10755.5	0	10755.5
501.236	10198.5	0	10198.5
501.37	9609.25	0	9609.25
501.504	9073.25	0	9073.25
501.637	8401.25	0	8401.25
501.771	8001.75	0	8001.75
501.905	7517.25	0	7517.25
502.039	7357.5	0	7357.5
502.172	6979	0	6979
502.306	6858	0	6858
502.44	6762.75	0	6762.75
502.573	6759.5	0	6759.5
502.707	6591.75	0	6591.75
502.841	6488.5	0	6488.5
502.974	6370	0	6370
503.108	6336.25	0	6336.25
503.242	6151.75	0	6151.75
503.375	6217.25	0	6217.25
503.509	6177.75	0	6177.75
503.642	5992	0	5992
503.776	6117	0	6117
503.909	6146.25	0	6146.25
504.043	6229.5	0	6229.5
504.176	6178.75	0	6178.75
504.31	6239	0	6239
504.443	6462	0	6462
504.577	6674	0	6674
504.71	6889.25	0	6889.25
504.844	7396.75	0	7396.75
504.977	7401	0	7401
505.111	7494	0	7494
505.244	6758.5	0	6758.5
505.377	6441.5	0	6441.5
505.511	6330.25	0	6330.25
505.644	6314	0	6314
505.777	6278.5	0	6278.5
505.911	6183.25	0	6183.25
506.044	6305.25	0	6305.25
506.177	6321.5	0	6321.5
506.311	6340.5	0	6340.5
506.444	6563.25	0	6563.25
506.577	6679	0	6679
506.71	6913.5	0	6913.5
506.844	7205.25	0	7205.25
506.977	7661.25	0	7661.25
507.11	6563	0	6563
507.243	6355.5	0	6355.5
507.376	6440.25	0	6440.25
507.51	6503	0	6503
507.643	6319.5	0	6319.5
507.776	6341	0	6341
507.909	6439.75	0	6439.75
508.042	6521.5	0	6521.5
508.175	6809.5	0	6809.5
508.308	7134.25	0	7134.25
508.441	6289.5	0	6289.5
508.574	6176.25	0	6176.25
508.707	6202.75	0	6202.75
508.84	6298.75	0	6298.75
508.973	6382.5	0	6382.5
509.106	6129.75	0	6129.75
509.239	6108	0	6108
509.372	6083.75	0	6083.75
509.505	6098.25	0	6098.25
509.638	6101.75	0	6101.75
509.771	6104.75	0	6104.75
509.904	6066.5	0	6066.5
510.037	6205.25	0	6205.25
510.17	6077	0	6077
510.303	6173.75	0	6173.75
510.436	6058.75	0	6058.75
510.568	6070.75	0	6070.75
510.701	6250.5	0	6250.5
510.834	6287	0	6287
510.967	6329.75	0	6329.75
511.1	6412.25	0	6412.25
511.232	6699.25	0	6699.25
511.365	7405.75	0	7405.75
511.498	8455	0	8455
511.631	9702.25	0	9702.25
511.763	8515.5	0	8515.5
511.896	6923	0	6923
